Year,Date,Tournament,Site,State,Winner,Tournament_URL
2025,August 21-24 2025,2025 Bassmaster Elite at Mississippi River,Mississippi River,WI,Pat Schlapper,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2025
2025,August 7-10 2025,2025 Bassmaster Elite at Lake St. Clair,Lake St. Clair,MI,Trey McKinney,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2025
2025,June 12-15 2025,2025 Bassmaster Elite at Lake Tenkiller,Lake Tenkiller,OK,Wes Logan,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2025
2025,May 15-18 2025,2025 MAXAM Tire Bassmaster Elite at Sabine River,Sabine River,TX,Pat Schlapper,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2025
2025,May 8-11 2025,2025 Bassmaster Elite at Lake Fork,Lake Fork,TX,Tucker Smith,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2025
2025,April 24-27 2025,2025 Bassmaster Elite at Lake Hartwell,Lake Hartwell,SC,Paul Marks,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2025
2025,April 10-13 2025,2025 Bassmaster Elite at Pasquotank River,Pasquotank River/Albemarle Sound,NC,Kyle Welcher,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2025
2025,March 21-23 2025,2025 Bass Pro Shops Bassmaster Classic presented by Under Armour,Lake Ray Roberts,TX,Easton Fothergill,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2025
2025,February 27-2 2025,2025 Bassmaster Elite at Lake Okeechobee,Lake Okeechobee,FL,Brandon Palaniuk,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2025
2025,February 20-23 2025,2025 Bassmaster Elite at St. Johns River,St. Johns River,FL,Bill Lowen,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2025
2024,August 15-18 2024,2024 Bassmaster Elite at St. Lawrence River,St. Lawrence River,NY,Cory Johnston,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2024
2024,August 8-12 2024,2024 Bassmaster Elite at Lake Champlain,Lake Champlain,NY,Ed Loughran,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2024
2024,June 27-30 2024,2024 Bassmaster Elite at Smith Lake,Smith Lake,AL,Taku Ito,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2024
