tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,1,Brandon Palaniuk,184,20,1254,40,,15,360
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,2,Britt Myers,180,20,1064,,,,295
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,3,Matt Herren,159,20,1063,,,,290
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,4,Edwin Evers,152,20,1056,,,5,285
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,5,Brent Chapman,126,20,1031,,,,280
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,6,Cliff Pace,183,20,1009,,,,276
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,7,Bobby Lane,167,20,1002,,,,272
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,8,Scott Rook,194,20,984,,,,268
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,9,Derek Remitz,191,20,973,,,,264
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,10,Jason Quinn,188,20,965,,,,260
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,11,Mark Menendez,175,20,949,,,,257
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,12,Keith Poche,186,20,931,,,,254
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,13,Clark Reehm,190,15,749,,,,251
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,14,Randy Howell,131,15,733,,,,248
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,15,Ishama Monroe,224,15,732,,,,245
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,16,Zell Rowland,196,15,730,,40,,283
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,17,David Walker,214,15,726,,,,241
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,18,Brandon Card,256,15,726,,,,239
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,19,Michael Iaconelli,124,15,720,,,,237
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,20,Bradley Roy,197,15,716,,,,235
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,21,Rick Clunn,142,15,707,,,,233
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,22,Travis Manson,172,15,703,,,,231
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,23,Kyle Fox,257,15,692,,,,229
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,24,Boyd Duckett,150,15,690,,,,227
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,25,Bill Lowen,171,15,684,,,,225
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,26,Terry Butcher,141,15,683,,,,223
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,27,Russ Lane,169,15,681,,,,221
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,28,Alton Jones,130,15,679,,,,219
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,29,Kotaro Kiriyama,164,15,678,,,,217
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,30,Chris Zaldain,263,15,675,,,,215
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,31,Dustin Wilks,217,15,675,,,,213
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,32,Tommy Biffle,137,15,674,,,,211
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,33,Greg Vinson,213,15,670,,,,209
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,34,Rick Morris,178,15,669,,,,207
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,35,Mike McClelland,123,15,662,,,,205
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,36,Ott Defoe,149,15,662,,,,203
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,37,Matt Reed,189,15,659,,,,201
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,38,Keith Combs,143,15,656,,,,199
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,39,Jonathon VanDam,220,15,656,,,,197
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,40,Brian Snowden,205,15,655,,,,195
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,41,Gerald Swindle,208,15,651,,,,193
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,42,Andy Montgomery,177,15,651,,,,191
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,43,J Todd Tucker,212,15,650,,,,189
Alabama Charge,2012,April 19-22 2012,Pickwick Charge,AL,44,Casey Ashley,135,15,648,,,,187
