tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,1,Jeremy Starks,206,20,1298,,,,305
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,2,Britt Myers,180,20,1265,40,,5,345
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,3,Aaron Martens,119,20,1189,,,5,295
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,4,Dean Rojas,193,20,1181,,,,285
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,5,Randy Howell,131,20,1164,,,5,280
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,6,Andy Montgomery,177,20,1116,,,5,276
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,7,Ott Defoe,149,20,1116,,,,272
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,8,Jeff Kriet,165,20,1110,,,,268
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,9,Brandon Card,256,20,1088,,,,264
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,10,Mike McClelland,123,20,999,,,,260
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,11,Mark Davis,148,20,971,,,,257
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,12,Jamie Horton,249,20,890,,,,254
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,13,Matt Reed,189,15,688,,,,251
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,14,Marty Robinson,192,15,685,,,,248
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,15,Cliff Pace,183,15,679,,,,245
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,16,Kyle Fox,257,15,674,,,,243
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,17,Kelly Jordon,129,15,674,,,,241
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,18,Yusuke Miyazaki,176,15,673,,,,239
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,19,Rick Clunn,142,15,671,,,,237
Battle on the Bayou,2012,May 3-6 2012,Toledo Bend,LA,20,Nate Wellman,216,15,666,,,,235
