tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,1,Todd Faircloth,120,20,996,,40,,355
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,2,Cliff Pace,183,20,976,,,5,295
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,3,Terry Butcher,141,20,971,,40,,330
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,4,Jamie Horton,249,20,955,40,,5,325
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,5,Aaron Martens,119,20,929,,,5,280
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,6,Terry Scroggins,200,20,923,,,,276
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,7,Bill Lowen,171,20,922,,,,272
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,8,Dean Rojas,193,20,919,,,,268
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,9,Cliff Prince,261,20,880,,,,264
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,10,Stephen Kennedy,128,20,875,,,,260
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,11,Randy Howell,131,20,867,,,,257
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,12,Rick Clunn,142,17,773,,,,254
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,13,Kevin VanDam,118,15,668,,,,251
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,14,Jason Quinn,188,15,662,,,,248
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,15,Greg Hackney,122,15,660,,,,245
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,16,Nate Wellman,216,15,656,,,,243
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,17,John Crews,146,15,653,,,,241
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,18,Mike McClelland,123,15,652,,,,239
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,19,Takahiro Omori,182,15,652,,,,237
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,20,Timmy Horton,163,15,648,,,,235
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,21,Bobby Lane,167,15,646,,,,233
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,22,Brent Chapman,126,15,645,,,,231
Carolina Clash,2012,June 21-24 2012,Lake Murray,SC,23,Matt Herren,159,15,640,,,,229
