tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,1,Ishama Monroe,224,20,1733,40,,15,360
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,2,Chris Lane,168,20,1529,,,5,295
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,3,Skeet Reese,117,20,1356,,,,290
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,4,Shaw E Grigsby,125,20,1266,,,,285
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,5,Brent Chapman,126,20,1240,,,,280
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,6,Jeff Kriet,165,20,1212,,,,276
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,7,Scott Rook,194,20,1205,,,,272
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,8,Kevin VanDam,118,20,1158,,40,,308
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,9,Tommy Biffle,137,20,1136,,,,264
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,10,Terry Scroggins,200,20,1114,,,,260
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,11,Todd Faircloth,120,20,1090,,,,257
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,12,Kyle Fox,257,19,1023,,,,254
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,13,Gary Klein,121,15,825,,,,251
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,14,Randy Howell,131,15,820,,,,248
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,15,Ott Defoe,149,15,814,,,,245
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,16,Britt Myers,180,15,810,,,,243
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,17,David Walker,214,15,780,,,,241
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,18,Bobby Lane,167,15,771,,,,239
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,19,Keith Combs,143,15,765,,,,237
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,20,Jared Lintner,170,15,762,,,,235
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,21,Michael Iaconelli,124,15,746,,,,233
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,22,Bradley Roy,197,15,737,,,,231
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,23,Jason Williamson,218,15,721,,,,229
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,24,Jeremy Starks,206,15,713,,,,227
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,25,Gerald Swindle,208,15,705,,,,225
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,26,Davy Hite,162,15,704,,,,223
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,27,Stephen Kennedy,128,15,683,,,,221
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,28,Zell Rowland,196,15,672,,,,219
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,29,Nate Wellman,216,15,664,,,,217
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,30,Jason Quinn,188,15,661,,,,215
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,31,Cliff Crochet,147,15,658,,,,213
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,32,Mark Davis,148,15,653,,,,211
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,33,Mike McClelland,123,15,650,,,,209
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,34,Marty Robinson,192,14,649,,,,207
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,35,Edwin Evers,152,15,648,,,,205
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,36,Kelly Jordon,129,15,641,,,,203
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,37,Brent Broderick,139,15,637,,,,201
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,38,Morizo Shimizu,201,15,630,,,,199
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,39,Fletcher Shryock,244,15,615,,,,197
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,40,Paul Elias,151,15,613,,,,195
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,41,Brandon Card,256,15,610,,,,193
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,42,Bill Lowen,171,15,605,,,,191
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,43,James Niggemeyer,181,14,603,,,,189
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,44,John Murray,179,15,596,,,,187
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,45,Derek Remitz,191,15,581,,,,185
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,46,Yusuke Miyazaki,176,15,575,,,,183
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,47,Rick Clunn,142,15,573,,,,181
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,48,Fred Roumbanis,195,14,572,,,,179
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,49,J Todd Tucker,212,15,561,,,,177
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,50,Pat Golden,154,14,543,,,,175
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,51,Cliff Prince,261,10,410,,,,173
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,52,Russ Lane,169,10,405,,,,171
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,53,Russell Parrish,222,10,397,,,,169
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,54,Kevin Short,202,10,388,,,,167
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,55,Keith Poche,186,10,384,,,,165
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,56,Denny Brauer,138,10,383,,,,163
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,57,Jamie Horton,249,10,380,,,,161
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,58,Aaron Martens,119,10,379,,,,159
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,59,Takahiro Omori,182,10,376,,,,157
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,60,John Crews,146,10,375,,,,155
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,61,Terry Butcher,141,8,362,,,,153
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,62,Greg Vinson,213,10,356,,,,151
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,63,Cliff Pace,183,10,356,,,,149
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,64,Matt Herren,159,10,349,,,,147
Citrus Slam,2012,March 22-25 2012,St. Johns River,FL,65,Casey Scanlon,262,10,345,,,,145
