tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,1,Jonathon VanDam,220,20,1266,40,40,5,385
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,2,Brandon Palaniuk,184,20,1228,,,5,300
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,3,Aaron Martens,119,20,1171,,,5,295
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,4,Dean Rojas,193,20,1070,,,,290
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,5,Ott Defoe,149,20,981,,,,280
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,6,James Niggemeyer,181,20,968,,,,276
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,7,Skeet Reese,117,20,949,,,,272
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,8,Tommy Biffle,137,20,943,,,,268
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,9,Bernie Schultz,199,20,916,,,,264
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,10,Ishama Monroe,224,20,913,,,,260
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,11,Stephen Browning,140,16,712,,,,257
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,12,Russ Lane,169,15,681,,,,254
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,13,Bill Lowen,171,15,674,,,,251
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,14,Chris Zaldain,263,14,667,,,,248
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,15,David Walker,214,14,658,,,,245
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,16,Terry Scroggins,200,15,655,,,,243
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,17,Scott Rook,194,15,648,,,,241
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,18,Chris Lane,168,15,645,,,,239
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,19,Kevin VanDam,118,13,644,,,,237
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,20,Shaw E Grigsby,125,15,641,,,,235
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,21,Kotaro Kiriyama,164,15,640,,,,233
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,22,Boyd Duckett,150,15,639,,,,231
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,23,Stephen Kennedy,128,15,638,,,,229
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,24,Travis Manson,172,14,635,,,,227
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,25,Greg Hackney,122,12,635,,,,225
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,26,Derek Remitz,191,15,631,,,,223
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,27,Brent Chapman,126,15,629,,,,221
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,28,Mark Davis,148,13,622,,,,219
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,29,Todd Faircloth,120,13,618,,,,217
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,30,John Crews,146,12,617,,,,215
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,31,Edwin Evers,152,14,586,,,,213
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,32,Fred Roumbanis,195,15,579,,,,211
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,33,Dave Smith,204,14,577,,,,209
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,34,Takahiro Omori,182,12,557,,,5,207
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,35,Mark Menendez,175,12,557,,,,205
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,36,Keith Combs,143,15,552,,,,203
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,37,Timmy Horton,163,14,550,,,,201
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,38,Scott Ashmore,136,13,549,,,,199
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,39,Rick Clunn,142,15,545,,,,197
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,40,Yusuke Miyazaki,176,11,541,,,,195
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,41,Pete Ponds,187,12,533,,,,193
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,42,Rick Morris,178,13,526,,,,191
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,43,Matt Herren,159,10,519,,,,189
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,44,Bobby Lane,167,12,511,,,,187
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,45,Dustin Wilks,217,12,509,,,,185
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,46,Chad Griffin,156,14,497,,,,183
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,47,Matt Greenblatt,155,10,461,,,,181
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,48,Kevin Ledoux,258,9,420,,,,179
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,49,Alton Jones,130,9,383,,,,177
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,50,Andy Montgomery,177,9,338,,,,175
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,51,Gary Klein,121,9,338,,,,173
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,52,Gerald Swindle,208,10,337,,,,171
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,53,Denny Brauer,138,8,336,,,,169
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,54,Matt Reed,189,8,324,,,,167
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,55,Jared Lintner,170,7,321,,,,165
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,56,Fletcher Shryock,244,7,319,,,,163
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,57,Davy Hite,162,7,316,,,,161
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,58,Randy Howell,131,10,314,,,,159
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,59,Michael Iaconelli,124,9,302,,,,157
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,60,Jason Williamson,218,10,301,,,,155
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,61,Jason Quinn,188,6,298,,,,153
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,62,Mike McClelland,123,9,296,,,,151
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,63,Kevin Short,202,7,296,,,,149
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,64,Jeff Kriet,165,8,292,,,,147
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,65,Jamie Horton,249,8,286,,,,145
Diamond Drive,2012,June 28-1 2012,Arkansas River,AR,66,Nate Wellman,216,7,284,,,,143
