tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,1,Boyd Duckett,150,20,998,,,10,305
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,2,Randy Howell,131,19,992,,,,305
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,3,Scott Rook,194,20,967,,,,290
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,4,Takahiro Omori,182,20,916,,40,5,325
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,5,Ott Defoe,149,20,910,,,,280
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,6,Brent Chapman,126,20,906,,,,276
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,7,Nate Wellman,216,20,903,,,,272
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,8,Jason Quinn,188,20,890,,,,268
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,9,Terry Scroggins,200,19,844,,,,264
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,10,John Crews,146,18,792,,,,260
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,11,Fletcher Shryock,244,17,779,,,,257
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,12,Bernie Schultz,199,16,707,,,,254
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,13,Jared Lintner,170,15,663,,,,251
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,14,Matt Herren,159,15,659,,,,248
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,15,Kevin VanDam,118,15,654,,,,245
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,16,Edwin Evers,152,15,653,,,,243
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,17,Tommy Biffle,137,14,651,,,,241
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,18,Skeet Reese,117,15,643,,,,239
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,19,Matt Greenblatt,155,15,640,,,,237
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,20,Kelly Jordon,129,15,633,,,,235
Dixie Duel,2012,August 23-26 2012,Wheeler Lake,AL,21,Bobby Lane,167,15,623,,,,233
