tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,1,Jeremy Starks,206,20,1298,,,,305
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,2,Britt Myers,180,20,1265,40,,5,345
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,3,Aaron Martens,119,20,1189,,,5,295
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,4,Dean Rojas,193,20,1181,,,,285
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,5,Randy Howell,131,20,1164,,,5,280
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,6,Andy Montgomery,177,20,1116,,,5,276
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,7,Ott Defoe,149,20,1116,,,,272
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,8,Jeff Kriet,165,20,1110,,,,268
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,9,Brandon Card,256,20,1088,,,,264
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,10,Mike McClelland,123,20,999,,,,260
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,11,Mark Davis,148,20,971,,,,257
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,12,Jamie Horton,249,20,890,,,,254
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,13,Matt Reed,189,15,688,,,,251
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,14,Marty Robinson,192,15,685,,,,248
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,15,Cliff Pace,183,15,679,,,,245
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,16,Kyle Fox,257,15,674,,,,243
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,17,Kelly Jordon,129,15,674,,,,241
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,18,Yusuke Miyazaki,176,15,673,,,,239
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,19,Rick Clunn,142,15,671,,,,237
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,20,Nate Wellman,216,15,666,,,,235
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,21,Terry Scroggins,200,15,666,,,,233
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,22,Jason Williamson,218,15,657,,,,231
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,23,Greg Hackney,122,15,656,,,,229
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,24,David Walker,214,15,650,,,,227
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,25,Matt Greenblatt,155,15,647,,,,225
Douglas Lake Challenge,2012,May 3-6 2012,Douglas Lake,TN,26,Alton Jones,130,15,644,,,,223
