tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,1,Jonathon VanDam,220,20,1266,40,40,5,385
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,2,Brandon Palaniuk,184,20,1228,,,5,300
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,3,Aaron Martens,119,20,1171,,,5,295
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,4,Dean Rojas,193,20,1070,,,,290
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,5,Ott Defoe,149,20,981,,,,280
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,6,James Niggemeyer,181,20,968,,,,276
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,7,Skeet Reese,117,20,949,,,,272
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,8,Tommy Biffle,137,20,943,,,,268
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,9,Bernie Schultz,199,20,916,,,,264
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,10,Ishama Monroe,224,20,913,,,,260
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,11,Stephen Browning,140,16,712,,,,257
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,12,Russ Lane,169,15,681,,,,254
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,13,Bill Lowen,171,15,674,,,,251
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,14,Chris Zaldain,263,14,667,,,,248
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,15,David Walker,214,14,658,,,,245
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,16,Terry Scroggins,200,15,655,,,,243
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,17,Scott Rook,194,15,648,,,,241
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,18,Chris Lane,168,15,645,,,,239
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,19,Kevin VanDam,118,13,644,,,,237
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,20,Shaw E Grigsby,125,15,641,,,,235
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,21,Kotaro Kiriyama,164,15,640,,,,233
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,22,Boyd Duckett,150,15,639,,,,231
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,23,Stephen Kennedy,128,15,638,,,,229
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,24,Travis Manson,172,14,635,,,,227
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,25,Greg Hackney,122,12,635,,,,225
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,26,Derek Remitz,191,15,631,,,,223
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,27,Brent Chapman,126,15,629,,,,221
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,28,Mark Davis,148,13,622,,,,219
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,29,Todd Faircloth,120,13,618,,,,217
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,30,John Crews,146,12,617,,,,215
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,31,Edwin Evers,152,14,586,,,,213
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,32,Fred Roumbanis,195,15,579,,,,211
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,33,Dave Smith,204,14,577,,,,209
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,34,Takahiro Omori,182,12,557,,,5,207
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,35,Mark Menendez,175,12,557,,,,205
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,36,Keith Combs,143,15,552,,,,203
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,37,Timmy Horton,163,14,550,,,,201
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,38,Scott Ashmore,136,13,549,,,,199
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,39,Rick Clunn,142,15,545,,,,197
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,40,Yusuke Miyazaki,176,11,541,,,,195
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,41,Pete Ponds,187,12,533,,,,193
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,42,Rick Morris,178,13,526,,,,191
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,43,Matt Herren,159,10,519,,,,189
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,44,Bobby Lane,167,12,511,,,,187
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,45,Dustin Wilks,217,12,509,,,,185
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,46,Chad Griffin,156,14,497,,,,183
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,47,Matt Greenblatt,155,10,461,,,,181
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,48,Kevin Ledoux,258,9,420,,,,179
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,49,Alton Jones,130,9,383,,,,177
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,50,Andy Montgomery,177,9,338,,,,175
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,51,Gary Klein,121,9,338,,,,173
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,52,Gerald Swindle,208,10,337,,,,171
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,53,Denny Brauer,138,8,336,,,,169
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,54,Matt Reed,189,8,324,,,,167
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,55,Jared Lintner,170,7,321,,,,165
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,56,Fletcher Shryock,244,7,319,,,,163
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,57,Davy Hite,162,7,316,,,,161
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,58,Randy Howell,131,10,314,,,,159
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,59,Michael Iaconelli,124,9,302,,,,157
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,60,Jason Williamson,218,10,301,,,,155
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,61,Jason Quinn,188,6,298,,,,153
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,62,Mike McClelland,123,9,296,,,,151
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,63,Kevin Short,202,7,296,,,,149
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,64,Jeff Kriet,165,8,292,,,,147
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,65,Jamie Horton,249,8,286,,,,145
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,66,Nate Wellman,216,7,284,,,,143
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,67,Brent Broderick,139,6,283,,,,141
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,68,Greg Vinson,213,9,278,,,,139
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,69,Jeremy Starks,206,7,271,,,,137
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,70,Kelly Jordon,129,7,265,,,,135
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,71,Brian Snowden,205,7,257,,,,133
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,72,Casey Ashley,135,6,249,,,,131
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,73,Russell Parrish,222,5,249,,,,129
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,74,Cliff Pace,183,5,239,,,,127
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,75,John Murray,179,6,238,,,,125
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,76,Kenyon Hill,161,7,232,,,,123
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,77,Byron Velvick,255,7,228,,,,121
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,78,Kyle Fox,257,7,226,,,,119
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,79,Brandon Card,256,6,224,,,,117
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,80,Keith Poche,186,5,221,,,,115
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,81,Cliff Prince,261,6,217,,,,113
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,82,Clark Reehm,190,7,212,,,,111
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,83,Morizo Shimizu,201,3,204,,,,109
Green Bay Challenge,2012,June 28-1 2012,Lake Michigan,WI,84,Casey Scanlon,262,4,196,,,,107
