tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,1,Todd Faircloth,120,20,996,,40,,355
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,2,Cliff Pace,183,20,976,,,5,295
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,3,Terry Butcher,141,20,971,,40,,330
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,4,Jamie Horton,249,20,955,40,,5,325
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,5,Aaron Martens,119,20,929,,,5,280
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,6,Terry Scroggins,200,20,923,,,,276
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,7,Bill Lowen,171,20,922,,,,272
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,8,Dean Rojas,193,20,919,,,,268
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,9,Cliff Prince,261,20,880,,,,264
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,10,Stephen Kennedy,128,20,875,,,,260
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,11,Randy Howell,131,20,867,,,,257
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,12,Rick Clunn,142,17,773,,,,254
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,13,Kevin VanDam,118,15,668,,,,251
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,14,Jason Quinn,188,15,662,,,,248
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,15,Greg Hackney,122,15,660,,,,245
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,16,Nate Wellman,216,15,656,,,,243
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,17,John Crews,146,15,653,,,,241
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,18,Mike McClelland,123,15,652,,,,239
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,19,Takahiro Omori,182,15,652,,,,237
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,20,Timmy Horton,163,15,648,,,,235
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,21,Bobby Lane,167,15,646,,,,233
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,22,Brent Chapman,126,15,645,,,,231
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,23,Matt Herren,159,15,640,,,,229
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,24,Davy Hite,162,15,637,,,,227
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,25,Greg Vinson,213,15,636,,,,225
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,26,Grant Goldbeck,225,15,633,,,,223
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,27,Ott Defoe,149,15,631,,,,221
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,28,Boyd Duckett,150,15,627,,,,219
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,29,Andy Montgomery,177,15,625,,,,217
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,30,Russ Lane,169,15,624,,,,215
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,31,Mark Menendez,175,15,618,,,,213
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,32,Jason Williamson,218,15,616,,,,211
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,33,Gary Klein,121,15,612,,,,209
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,34,Jared Miller,259,15,612,,,,207
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,35,Michael Iaconelli,124,15,608,,,,205
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,36,Skeet Reese,117,14,605,,,,203
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,37,Matt Reed,189,15,602,,,,201
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,38,Edwin Evers,152,15,599,,,,199
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,39,Matt Greenblatt,155,15,594,,,,197
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,40,Jami Fralick,153,15,594,,,,195
Mississippi River Rumble,2012,June 21-24 2012,Mississippi River,WI,41,Dustin Wilks,217,15,590,,,,193
