tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,1,Ishama Monroe,224,20,1733,40,,15,360
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,2,Chris Lane,168,20,1529,,,5,295
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,3,Skeet Reese,117,20,1356,,,,290
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,4,Shaw E Grigsby,125,20,1266,,,,285
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,5,Brent Chapman,126,20,1240,,,,280
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,6,Jeff Kriet,165,20,1212,,,,276
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,7,Scott Rook,194,20,1205,,,,272
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,8,Kevin VanDam,118,20,1158,,40,,308
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,9,Tommy Biffle,137,20,1136,,,,264
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,10,Terry Scroggins,200,20,1114,,,,260
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,11,Todd Faircloth,120,20,1090,,,,257
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,12,Kyle Fox,257,19,1023,,,,254
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,13,Gary Klein,121,15,825,,,,251
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,14,Randy Howell,131,15,820,,,,248
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,15,Ott Defoe,149,15,814,,,,245
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,16,Britt Myers,180,15,810,,,,243
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,17,David Walker,214,15,780,,,,241
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,18,Bobby Lane,167,15,771,,,,239
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,19,Keith Combs,143,15,765,,,,237
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,20,Jared Lintner,170,15,762,,,,235
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,21,Michael Iaconelli,124,15,746,,,,233
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,22,Bradley Roy,197,15,737,,,,231
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,23,Jason Williamson,218,15,721,,,,229
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,24,Jeremy Starks,206,15,713,,,,227
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,25,Gerald Swindle,208,15,705,,,,225
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,26,Davy Hite,162,15,704,,,,223
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,27,Stephen Kennedy,128,15,683,,,,221
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,28,Zell Rowland,196,15,672,,,,219
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,29,Nate Wellman,216,15,664,,,,217
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,30,Jason Quinn,188,15,661,,,,215
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,31,Cliff Crochet,147,15,658,,,,213
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,32,Mark Davis,148,15,653,,,,211
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,33,Mike McClelland,123,15,650,,,,209
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,34,Marty Robinson,192,14,649,,,,207
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,35,Edwin Evers,152,15,648,,,,205
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,36,Kelly Jordon,129,15,641,,,,203
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,37,Brent Broderick,139,15,637,,,,201
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,38,Morizo Shimizu,201,15,630,,,,199
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,39,Fletcher Shryock,244,15,615,,,,197
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,40,Paul Elias,151,15,613,,,,195
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,41,Brandon Card,256,15,610,,,,193
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,42,Bill Lowen,171,15,605,,,,191
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,43,James Niggemeyer,181,14,603,,,,189
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,44,John Murray,179,15,596,,,,187
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,45,Derek Remitz,191,15,581,,,,185
Power-Pole Slam,2012,March 22-25 2012,Lake Okeechobee,FL,46,Yusuke Miyazaki,176,15,575,,,,183
