tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,1,Brent Chapman,126,20,1337,,,10,315
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,2,Cliff Pace,183,20,1269,,,5,300
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,3,Marty Robinson,192,20,1243,,,,290
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,4,Greg Hackney,122,20,1217,,,,285
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,5,Cliff Prince,261,18,1113,,,,280
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,6,Timmy Horton,163,20,1103,40,,5,316
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,7,Mark Davis,148,20,1096,,,,272
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,8,Matt Herren,159,20,1045,,,,268
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,9,Casey Ashley,135,20,1040,,,,264
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,10,Yusuke Miyazaki,176,20,973,,,,260
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,11,Paul Elias,151,17,930,,,,257
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,12,Chris Zaldain,263,18,918,,,,254
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,13,Scott Ashmore,136,15,749,,,,251
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,14,Ott Defoe,149,14,732,,,,248
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,15,Todd Faircloth,120,15,726,,,,245
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,16,J Todd Tucker,212,13,722,,,,243
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,17,Edwin Evers,152,14,709,,,,241
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,18,Jeff Kriet,165,15,697,,,,239
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,19,Denny Brauer,138,15,690,,,,237
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,20,Terry Scroggins,200,15,690,,40,,275
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,21,Fred Roumbanis,195,15,689,,,,233
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,22,Terry Butcher,141,15,688,,,,231
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,23,Keith Poche,186,15,683,,,,229
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,24,Kevin Ledoux,258,14,683,,,,227
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,25,Aaron Martens,119,15,676,,,,225
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,26,Brian Snowden,205,15,671,,,,223
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,27,John Murray,179,15,662,,,,221
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,28,Shaw E Grigsby,125,15,660,,,,219
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,29,Jami Fralick,153,15,657,,,,217
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,30,David Walker,214,15,650,,,,215
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,31,Britt Myers,180,15,650,,,,213
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,32,Chris Lane,168,15,642,,,,211
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,33,Kevin VanDam,118,13,619,,,,209
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,34,Brandon Palaniuk,184,15,618,,,,207
Pride of Georgia,2012,June 7-10 2012,Westpoint Lake,GA,35,Bradley Roy,197,15,615,,,,205
