tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,1,Boyd Duckett,150,20,998,,,10,305
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,2,Randy Howell,131,19,992,,,,305
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,3,Scott Rook,194,20,967,,,,290
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,4,Takahiro Omori,182,20,916,,40,5,325
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,5,Ott Defoe,149,20,910,,,,280
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,6,Brent Chapman,126,20,906,,,,276
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,7,Nate Wellman,216,20,903,,,,272
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,8,Jason Quinn,188,20,890,,,,268
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,9,Terry Scroggins,200,19,844,,,,264
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,10,John Crews,146,18,792,,,,260
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,11,Fletcher Shryock,244,17,779,,,,257
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,12,Bernie Schultz,199,16,707,,,,254
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,13,Jared Lintner,170,15,663,,,,251
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,14,Matt Herren,159,15,659,,,,248
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,15,Kevin VanDam,118,15,654,,,,245
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,16,Edwin Evers,152,15,653,,,,243
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,17,Tommy Biffle,137,14,651,,,,241
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,18,Skeet Reese,117,15,643,,,,239
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,19,Matt Greenblatt,155,15,640,,,,237
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,20,Kelly Jordon,129,15,633,,,,235
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,21,Bobby Lane,167,15,623,,,,233
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,22,Rick Morris,178,15,623,,,,231
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,23,Jami Fralick,153,15,620,,,,229
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,24,James Niggemeyer,181,15,615,,,,227
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,25,Marty Robinson,192,15,613,,,,225
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,26,Mark Davis,148,15,612,,,,223
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,27,Ishama Monroe,224,13,603,,,,221
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,28,Aaron Martens,119,14,596,,,,219
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,29,Todd Faircloth,120,15,594,,,,217
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,30,Yusuke Miyazaki,176,15,591,,,,215
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,31,Jason Williamson,218,15,589,,,,213
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,32,Brandon Palaniuk,184,13,583,,,,211
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,33,Cliff Pace,183,14,582,,,,209
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,34,Gerald Swindle,208,15,574,,,,207
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,35,Casey Scanlon,262,13,572,,,,205
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,36,Mike McClelland,123,13,571,,,,203
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,37,Travis Manson,172,14,554,,,,201
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,38,Jeremy Starks,206,13,554,,,,199
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,39,Michael Iaconelli,124,12,553,40,,5,242
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,40,Brian Snowden,205,14,543,,,,195
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,41,Matt Reed,189,15,540,,,,193
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,42,Chris Lane,168,14,534,,,,191
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,43,Russ Lane,169,13,518,,,,189
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,44,Clark Reehm,190,11,518,,,,187
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,45,Cliff Crochet,147,13,516,,,,185
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,46,Kevin Short,202,13,509,,,,183
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,47,Stephen Browning,140,14,495,,,,181
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,48,Morizo Shimizu,201,12,481,,,,179
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,49,Cliff Prince,261,12,477,,,,177
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,50,Greg Vinson,213,10,383,,,,175
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,51,Timmy Horton,163,10,383,,,,173
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,52,Keith Poche,186,9,381,,,,171
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,53,Derek Remitz,191,9,381,,,,169
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,54,Bill Lowen,171,9,376,,,,167
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,55,Shaw E Grigsby,125,10,375,,,,165
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,56,Billy Mccaghren,173,10,373,,,,163
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,57,Jared Miller,259,9,373,,,,161
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,58,Casey Ashley,135,9,372,,,,159
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,59,Brandon Card,256,9,367,,,,157
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,60,Rick Clunn,142,9,365,,,,155
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,61,Davy Hite,162,10,364,,,,153
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,62,Kevin Ledoux,258,8,351,,,,151
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,63,Fred Roumbanis,195,7,351,,,,149
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,64,Dustin Wilks,217,10,336,,,,147
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,65,Greg Hackney,122,9,323,,,,145
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,66,Mark Menendez,175,8,319,,,,143
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,67,Charlie Hartley,158,9,318,,,,141
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,68,Jonathon VanDam,220,7,317,,,,139
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,69,Chris Zaldain,263,8,315,,,,137
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,70,Britt Myers,180,9,295,,,,135
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,71,Paul Elias,151,8,293,,,,133
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,72,Keith Combs,143,7,291,,,,131
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,73,David Walker,214,6,290,,,,129
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,74,Chad Griffin,156,7,285,,,,127
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,75,Jeff Kriet,165,6,284,,,,125
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,76,Scott Ashmore,136,8,275,,,,123
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,77,Byron Velvick,255,7,271,,,,121
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,78,Dean Rojas,193,7,269,,,,119
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,79,Terry Butcher,141,10,266,,,,117
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,80,J Todd Tucker,212,5,262,,,,115
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,81,John Murray,179,6,254,,,,113
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,82,Kenyon Hill,161,7,242,,,,111
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,83,Denny Brauer,138,6,235,,,,109
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,84,Andy Montgomery,177,6,233,,,,107
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,85,Stephen Kennedy,128,8,213,,,,105
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,86,Brent Broderick,139,6,209,,,,103
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,87,Zell Rowland,196,5,209,,,,101
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,88,Grant Goldbeck,225,5,201,,,,99
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,89,Dave Smith,204,6,187,,,,97
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,90,Alton Jones,130,4,144,,,,95
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,91,Jamie Horton,249,4,141,,,,93
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,92,Pete Ponds,187,3,116,,,,91
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,93,Michael Simonton,260,3,109,,,,89
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,94,Gary Klein,121,3,86,,,,87
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,95,Bradley Roy,197,2,73,,,,85
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,96,Russell Parrish,222,1,36,,,,83
Ramada Championship,2012,August 23-26 2012,Oneida Lake,NY,97,Kotaro Kiriyama,164,0,0,,,,0
