tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,1,Alton Jones,130,20,1209,40,,5,355
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,2,Todd Faircloth,120,20,1191,,,,295
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,3,Keith Combs,143,20,1138,,,10,290
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,4,Brent Chapman,126,20,1080,,,,285
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,5,Skeet Reese,117,20,1029,,,,280
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,6,Terry Scroggins,200,20,971,,,,276
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,7,Cliff Crochet,147,20,934,,,,272
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,8,Greg Hackney,122,20,919,,40,,308
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,9,Randy Howell,131,20,887,,,,264
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,10,David Walker,214,20,882,,,,260
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,11,Dean Rojas,193,20,870,,,,257
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,12,J Todd Tucker,212,20,831,,,5,259
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,13,Matt Herren,159,15,684,,,,251
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,14,Edwin Evers,152,15,672,,,,248
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,15,Stephen Browning,140,15,644,,,,245
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,16,Cliff Prince,261,15,642,,,,243
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,17,Rick Morris,178,12,635,,,,241
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,18,Gerald Swindle,208,15,622,,,,239
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,19,Russell Parrish,222,15,619,,,,237
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,20,Marty Robinson,192,15,618,,,,235
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,21,Brandon Card,256,15,614,,,,233
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,22,Timmy Horton,163,15,609,,,,231
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,23,Shaw E Grigsby,125,15,604,,,,229
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,24,Kevin VanDam,118,15,603,,,,227
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,25,Bill Lowen,171,13,593,,,,225
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,26,Jamie Horton,249,15,589,,,,223
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,27,John Crews,146,15,579,,,,221
St. Johns River Showdown,2012,March 15-18 2012,St. Johns River,FL,28,Yusuke Miyazaki,176,14,576,,,,219
