tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,1,Brent Chapman,126,20,1337,,,10,315
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,2,Cliff Pace,183,20,1269,,,5,300
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,3,Marty Robinson,192,20,1243,,,,290
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,4,Greg Hackney,122,20,1217,,,,285
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,5,Cliff Prince,261,18,1113,,,,280
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,6,Timmy Horton,163,20,1103,40,,5,316
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,7,Mark Davis,148,20,1096,,,,272
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,8,Matt Herren,159,20,1045,,,,268
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,9,Casey Ashley,135,20,1040,,,,264
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,10,Yusuke Miyazaki,176,20,973,,,,260
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,11,Paul Elias,151,17,930,,,,257
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,12,Chris Zaldain,263,18,918,,,,254
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,13,Scott Ashmore,136,15,749,,,,251
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,14,Ott Defoe,149,14,732,,,,248
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,15,Todd Faircloth,120,15,726,,,,245
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,16,J Todd Tucker,212,13,722,,,,243
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,17,Edwin Evers,152,14,709,,,,241
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,18,Jeff Kriet,165,15,697,,,,239
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,19,Denny Brauer,138,15,690,,,,237
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,20,Terry Scroggins,200,15,690,,40,,275
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,21,Fred Roumbanis,195,15,689,,,,233
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,22,Terry Butcher,141,15,688,,,,231
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,23,Keith Poche,186,15,683,,,,229
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,24,Kevin Ledoux,258,14,683,,,,227
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,25,Aaron Martens,119,15,676,,,,225
Toledo Bend Battle,2012,June 7-10 2012,Toledo Bend,LA,26,Brian Snowden,205,15,671,,,,223
