tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,1,Brandon Palaniuk,184,20,1254,40,,15,360
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,2,Britt Myers,180,20,1064,,,,295
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,3,Matt Herren,159,20,1063,,,,290
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,4,Edwin Evers,152,20,1056,,,5,285
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,5,Brent Chapman,126,20,1031,,,,280
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,6,Cliff Pace,183,20,1009,,,,276
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,7,Bobby Lane,167,20,1002,,,,272
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,8,Scott Rook,194,20,984,,,,268
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,9,Derek Remitz,191,20,973,,,,264
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,10,Jason Quinn,188,20,965,,,,260
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,11,Mark Menendez,175,20,949,,,,257
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,12,Keith Poche,186,20,931,,,,254
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,13,Clark Reehm,190,15,749,,,,251
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,14,Randy Howell,131,15,733,,,,248
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,15,Ishama Monroe,224,15,732,,,,245
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,16,Zell Rowland,196,15,730,,40,,283
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,17,David Walker,214,15,726,,,,241
TroKar Quest,2012,April 19-22 2012,Bull Shoals/Norfolk,AR,18,Brandon Card,256,15,726,,,,239
