tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,1,Edwin Evers,152,20,1213,,,,305
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,2,Brent Chapman,126,20,1185,40,,5,345
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,3,Stephen Kennedy,128,20,1157,,,5,290
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,4,Alton Jones,130,20,1144,,,,285
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,5,John Murray,179,20,1047,,,10,285
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,6,Tommy Biffle,137,20,1008,,,,276
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,7,Bobby Lane,167,20,984,,,,272
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,8,Aaron Martens,119,20,972,,,,268
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,9,David Walker,214,20,962,,,,264
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,10,Paul Elias,151,20,954,,,,260
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,11,Randy Howell,131,20,888,,,,257
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,12,Skeet Reese,117,18,832,,,,254
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,13,Jared Miller,259,15,687,,,,251
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,14,Boyd Duckett,150,15,674,,,,248
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,15,Davy Hite,162,15,674,,,,245
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,16,Scott Ashmore,136,15,671,,,,243
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,17,Chris Lane,168,15,669,,,,241
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,18,Ishama Monroe,224,15,668,,,,239
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,19,Mike McClelland,123,15,667,,,,237
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,20,Hank Cherry,265,15,667,,,,235
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,21,Shaw E Grigsby,125,15,662,,,,233
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,22,John Crews,146,15,661,,,,231
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,23,Jami Fralick,153,15,661,,,,229
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,24,Greg Vinson,213,15,660,,,,227
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,25,Dean Rojas,193,15,655,,,,225
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,26,Cliff Crochet,147,15,641,,,,223
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,27,Jonathon VanDam,220,15,632,,,,221
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,28,Jeremy Starks,206,15,632,,,,219
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,29,Kenyon Hill,161,15,628,,,,217
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,30,Britt Myers,180,15,625,,,,215
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,31,Michael Iaconelli,124,15,623,,,,213
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,32,Kevin VanDam,118,15,622,,,,211
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,33,Marty Robinson,192,15,615,,,,209
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,34,Andy Montgomery,177,15,613,,,,207
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,35,Jamie Horton,249,15,612,,,,205
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,36,Bernie Schultz,199,15,612,,,,203
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,37,Terry Scroggins,200,15,611,,,,201
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,38,Keith Combs,143,15,611,,,,199
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,39,Chris Zaldain,263,15,610,,,,197
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,40,Jason Quinn,188,15,601,,,,195
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,41,Matt Reed,189,15,599,,,,193
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,42,Yusuke Miyazaki,176,15,595,,,,191
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,43,Jason Williamson,218,15,582,,,,189
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,44,Casey Scanlon,262,15,581,,,,187
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,45,Chad Pipkens,280,15,568,,,,185
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,46,Clark Reehm,190,15,556,,,,183
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,47,Billy Mccaghren,173,15,536,,,,181
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,48,Russ Lane,169,15,508,,,,179
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,49,J Todd Tucker,212,15,494,,,,177
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,50,Matt Herren,159,10,409,,,,175
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,51,Rick Morris,178,10,398,,,,173
Alabama River Charge presented by Star brite,2013,May 9-12 2013,Alabama River,AL,52,Greg Hackney,122,10,397,,,,171
