tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,1,Cliff Pace,183,14,876,40,,15,355
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,2,Brandon Palaniuk,184,15,824,,,5,295
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,3,Hank Cherry,265,15,784,,,5,290
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,4,Michael Iaconelli,124,15,773,,,10,290
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,5,Mike McClelland,123,15,725,,,10,280
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,6,Tracy Adams,132,15,722,,,5,276
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,7,Jason Christie,264,14,693,,,5,272
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,8,Kevin VanDam,118,13,667,,,5,268
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,9,Todd Faircloth,120,15,661,,,5,264
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,10,Randy Howell,131,14,660,,,5,260
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,11,Ott Defoe,149,15,646,,,5,257
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,12,Shaw E Grigsby,125,15,640,,,5,254
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,13,Greg Hackney,122,15,634,,,5,251
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,14,Dean Rojas,193,15,626,,,5,248
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,15,Bobby Lane,167,15,620,,,5,245
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,16,Josh Wagy,266,15,603,,,5,243
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,17,Jonathan Carter,271,13,586,,,5,241
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,18,Bill Lowen,171,15,584,,,5,239
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,19,Ishama Monroe,224,15,584,,,5,237
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,20,Marty Robinson,192,13,572,,,5,235
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,21,Boyd Duckett,150,13,546,,,5,233
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,22,John Crews,146,13,524,,,5,231
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,23,Jonathon VanDam,220,11,505,,,5,229
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,24,Tommy Biffle,137,11,466,,,5,227
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,25,Edwin Evers,152,10,456,,,5,225
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,26,Brent Chapman,126,10,414,,,5,223
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,27,Gerald Swindle,208,10,411,,,5,221
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,28,Aaron Martens,119,8,409,,,5,219
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,29,Matt Herren,159,10,388,,,5,217
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,30,Nate Wellman,216,10,377,,,5,215
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,31,Alton Jones,130,10,370,,,5,213
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,32,Mark Davis,148,9,364,,,5,211
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,33,Jared Lintner,170,10,362,,,5,209
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,34,Jason Quinn,188,9,346,,,5,207
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,35,Gerry Jooste,269,8,335,,,5,205
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,36,Mark Dove,272,9,328,,,5,203
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,37,Skeet Reese,117,7,322,,,5,201
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,38,David Walker,214,8,313,,,5,199
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,39,Brandon Card,256,7,313,,,5,197
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,40,Yusuke Miyazaki,176,8,302,,,5,195
Bassmaster Classic 2013,2013,February 22-24 2013,Grand Lake,OK,41,Chris Lane,168,5,299,,,5,193
