tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,1,Tommy Biffle,137,20,1026,,,10,305
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,2,Aaron Martens,119,20,987,,40,5,345
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,3,John Crews,146,20,948,,,,290
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,4,Fred Roumbanis,195,20,904,,,,285
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,5,Brandon Card,256,20,898,,,,280
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,6,Todd Faircloth,120,20,895,,,,276
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,7,Bobby Lane,167,20,893,,,,272
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,8,Cliff Pirch,282,20,891,,,,268
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,9,Takahiro Omori,182,20,887,,,,264
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,10,Randy Howell,131,20,853,,,,260
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,11,Edwin Evers,152,20,824,,,,257
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,12,Cliff Crochet,147,20,820,,,,254
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,13,Greg Vinson,213,15,652,,,,251
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,14,Casey Scanlon,262,15,643,,,,248
Diet Mountain Dew Mississippi River Rumble presented by Power-Pole,2013,June 20-23 2013,Mississippi River,WI,15,Ott Defoe,149,15,636,,,,245
