tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,1,Keith Combs,143,20,1781,,,5,320
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,2,Rick Clunn,142,18,1686,40,,5,335
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,3,John Crews,146,20,1661,,,5,290
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,4,Josh Bertrand,276,19,1586,,,,285
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,5,Cliff Prince,261,20,1529,,,,280
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,6,Edwin Evers,152,20,1514,,,,276
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,7,Brandon Card,256,20,1509,,,,272
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,8,Jason Williamson,218,20,1506,,,,268
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,9,Cliff Crochet,147,18,1318,,,5,264
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,10,Billy Mccaghren,173,19,1294,,,,260
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,11,Gary Klein,121,16,1291,,,,257
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,12,Jason Christie,264,17,1204,,,,254
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,13,Alton Jones,130,15,1151,,,,251
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,14,Jeff Kriet,165,15,1146,,,,248
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,15,Rick Morris,178,15,1145,,,,245
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,16,Ott Defoe,149,15,1123,,,,243
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,17,Bobby Lane,167,15,1118,,,,241
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,18,Cliff Pirch,282,13,1091,,,,239
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,19,Kevin VanDam,118,15,1091,,,,237
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,20,Ishama Monroe,224,15,1089,,,,235
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,21,Jared Miller,259,15,1086,,,,233
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,22,Matt Reed,189,15,1079,,,,231
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,23,Scott Rook,194,15,1078,,,,229
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,24,Aaron Martens,119,15,1068,,,,227
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,25,Kelley Jaye,279,15,1062,,,,225
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,26,Jason Quinn,188,15,1060,,,,223
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,27,Skeet Reese,117,14,1050,,,,221
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,28,Grant Goldbeck,225,15,1045,,,,219
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,29,Dean Rojas,193,15,1043,,,,217
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,30,Morizo Shimizu,201,15,1039,,,,215
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,31,David Walker,214,15,1039,,,,213
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,32,Dennis Tietje,211,15,1033,,,,211
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,33,Chris Zaldain,263,15,1010,,,,209
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,34,Greg Hackney,122,15,1006,,,,207
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,35,Boyd Duckett,150,15,996,,,,205
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,36,Jonathon VanDam,220,14,992,,,,203
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,37,Russ Lane,169,15,969,,,,201
Falcon Slam,2013,March 21-25 2013,Falcon Lake,TX,38,John Murray,179,15,964,,,,199
