tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,1,Chris Lane,168,20,1316,40,,10,350
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,2,Mark Davis,148,19,1229,,,,305
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,3,Alton Jones,130,20,1222,,40,5,330
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,4,Takahiro Omori,182,20,1216,,,,285
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,5,Nate Wellman,216,20,1211,,,,280
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,6,Kotaro Kiriyama,164,20,1188,,,,276
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,7,Morizo Shimizu,201,20,1186,,,,272
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,8,Randy Howell,131,20,1141,,,,268
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,9,Jeremy Starks,206,20,1140,,,,264
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,10,Keith Combs,143,20,1099,,,,260
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,11,Derek Remitz,191,18,1015,,,,257
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,12,Aaron Martens,119,15,994,,,,254
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,13,Keith Poche,186,15,865,,,,251
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,14,Britt Myers,180,14,853,,,5,248
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,15,Yusuke Miyazaki,176,15,838,,,,245
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,16,Bobby Lane,167,15,832,,,,243
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,17,Tommy Biffle,137,15,825,,,,241
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,18,Jason Williamson,218,15,823,,,,239
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,19,Greg Hackney,122,15,803,,,,237
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,20,Rick Clunn,142,15,802,,,,235
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,21,Rick Morris,178,15,801,,,,233
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,22,Charlie Hartley,158,15,798,,,,231
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,23,John Crews,146,15,791,,,,229
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,24,Cliff Pace,183,15,788,,,,227
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,25,Terry Scroggins,200,15,787,,,,225
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,26,Josh Bertrand,276,15,785,,,,223
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,27,Jared Lintner,170,15,784,,,,221
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,28,Michael Simonton,260,13,782,,,,219
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,29,J Todd Tucker,212,15,777,,,,217
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,30,Hank Cherry,265,15,768,,,,215
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,31,Kevin VanDam,118,15,767,,,,213
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,32,Matt Reed,189,15,766,,,,211
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,33,Michael Iaconelli,124,15,764,,,,209
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,34,Timmy Horton,163,14,759,,,,207
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,35,Brandon Palaniuk,184,15,758,,,,205
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,36,Brian Snowden,205,15,749,,,,203
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,37,Cliff Prince,261,15,749,,,,201
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,38,Todd Faircloth,120,15,745,,,,199
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,39,Bernie Schultz,199,15,744,,,,197
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,40,John Murray,179,15,737,,,,195
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,41,Cliff Crochet,147,15,734,,,,193
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,42,Andy Montgomery,177,15,733,,,,191
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,43,Ott Defoe,149,15,728,,,,189
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,44,Greg Vinson,213,15,721,,,,187
Plano Championship Chase,2013,August 22-25 2013,Lake St. Clair,MI,45,Brent Chapman,126,15,720,,,,185
