tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,1,Jason Christie,264,20,904,40,,5,345
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,2,Fred Roumbanis,195,20,886,,,,295
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,3,Casey Scanlon,262,20,875,,,,295
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,4,Cliff Prince,261,20,865,,,5,285
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,5,Britt Myers,180,20,863,,,,280
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,6,Terry Scroggins,200,20,859,,,,276
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,7,Cliff Pace,183,20,853,,,,272
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,8,Brian Snowden,205,20,847,,,,268
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,9,Jonathon VanDam,220,20,843,,,,264
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,10,Chris Zaldain,263,20,817,,,,260
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,11,Greg Hackney,122,20,810,,,,257
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,12,Casey Ashley,135,20,771,,,,254
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,13,Skeet Reese,117,15,603,,,,251
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,14,Stephen Kennedy,128,15,602,,,,248
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,15,Aaron Martens,119,15,602,,,,245
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,16,Jami Fralick,153,15,601,,,,243
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,17,Gerald Swindle,208,15,594,,,,241
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,18,Jason Williamson,218,15,594,,,,239
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,19,Kevin VanDam,118,15,590,,,,237
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,20,Jeremy Starks,206,15,585,,,,235
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,21,Byron Haseotes,223,15,582,,,,233
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,22,Morizo Shimizu,201,15,580,,,,231
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,23,Greg Vinson,213,15,577,,,5,239
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,24,Shaw E Grigsby,125,15,576,,,,227
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,25,Edwin Evers,152,15,575,,,,225
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,26,James Elam,277,15,573,,,,223
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,27,Pete Ponds,187,15,572,,,,221
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,28,Scott Ashmore,136,15,571,,,,219
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,29,Gary Klein,121,15,569,,,,217
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,30,Paul Elias,151,15,566,,,,215
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,31,Bradley Roy,197,15,565,,40,,253
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,32,Nate Wellman,216,15,565,,,,211
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,33,Hank Cherry,265,15,559,,,,209
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,34,J Todd Tucker,212,15,552,,,,207
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,35,Boyd Duckett,150,15,552,,,,205
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,36,Michael Iaconelli,124,15,549,,,,203
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,37,Stephen Browning,140,15,548,,,,201
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,38,Cliff Pirch,282,15,545,,,,199
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,39,Matt Reed,189,15,540,,,,197
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,40,James Niggemeyer,181,15,537,,,,195
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,41,Ishama Monroe,224,13,523,,,5,193
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,42,Matt Greenblatt,155,15,520,,,,191
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,43,Mark Davis,148,15,517,,,,189
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,44,Jeff Kriet,165,15,512,,,,187
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,45,Brent Chapman,126,14,505,,,,185
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,46,Jared Lintner,170,15,502,,,,183
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,47,Todd Faircloth,120,13,483,,,,181
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,48,Randy Howell,131,14,477,,,,179
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,49,Dennis Tietje,211,11,456,,,,177
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,50,Charlie Hartley,158,14,433,,,,175
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,51,Kurt Dove,283,10,353,,,,173
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,52,Ott Defoe,149,10,353,,,,171
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,53,Brandon Card,256,10,347,,,,169
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,54,Josh Bertrand,276,8,345,,,,167
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,55,Kevin Hawk,278,10,345,,,,165
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,56,Yusuke Miyazaki,176,10,340,,,,163
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,57,Keith Combs,143,10,338,,,,161
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,58,Kenyon Hill,161,10,338,,,,159
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,59,Bernie Schultz,199,9,333,,,,157
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,60,Bobby Lane,167,10,332,,,,155
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,61,Michael Simonton,260,8,327,,,,153
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,62,David Walker,214,10,327,,,,151
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,63,Russ Lane,169,10,326,,,,149
Ramada Quest,2013,April 19-21 2013,Bull Shoals/Norfolk,AR,64,Kelly Jordon,129,9,325,,,,147
