tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,1,Todd Faircloth,120,19,790,40,,10,350
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,2,Dean Rojas,193,16,684,,,10,305
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,3,Terry Scroggins,200,14,657,,40,,330
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,4,Ishama Monroe,224,20,640,,,,285
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,5,Bill Lowen,171,20,611,,,,280
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,6,Bobby Lane,167,19,563,,,,276
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,7,Jeff Kriet,165,17,560,,,,272
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,8,Alton Jones,130,17,521,,,,268
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,9,Mark Davis,148,15,518,,,,264
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,10,Brandon Card,256,16,506,,,,260
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,11,Mike McClelland,123,15,504,,,,257
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,12,Dennis Tietje,211,13,501,,,,254
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,13,Edwin Evers,152,13,422,,,,251
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,14,Cliff Crochet,147,10,400,,,,248
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,15,Kevin VanDam,118,8,388,,,,245
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,16,Takahiro Omori,182,10,379,,,5,243
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,17,James Elam,277,9,345,,,,241
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,18,Charlie Hartley,158,9,344,,,,239
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,19,Casey Ashley,135,11,336,,,,237
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,20,Jared Miller,259,11,332,,,,235
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,21,Fred Roumbanis,195,11,332,,,,233
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,22,Chris Lane,168,11,331,,,,231
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,23,Zell Rowland,196,11,310,,,,229
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,24,Brian Snowden,205,9,306,,,,227
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,25,Billy Mccaghren,173,10,305,,,,225
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,26,John Crews,146,11,301,,,,223
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,27,Kelly Jordon,129,8,292,,,,221
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,28,Cliff Pace,183,10,289,,,,219
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,29,Keith Poche,186,8,280,,,,217
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,30,Marty Robinson,192,8,280,,,,215
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,31,Rick Morris,178,5,279,,,,213
Sabine River Challenge Presented by STARK Cultural Venues,2013,March 14-17 2013,Sabine River,TX,32,Keith Combs,143,8,278,,,,211
