tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,1,Brandon Palaniuk,184,20,1420,,,10,320
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,2,Jonathon VanDam,220,20,1300,,,,295
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,3,Ott Defoe,149,20,1258,,,5,290
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,4,Cliff Pirch,282,20,1254,,,,285
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,5,Aaron Martens,119,20,1247,,,,280
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,6,Bernie Schultz,199,20,1244,,,5,276
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,7,Stephen Kennedy,128,20,1242,40,40,5,352
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,8,Josh Bertrand,276,20,1242,,,,268
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,9,Kevin Hawk,278,20,1227,,,,264
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,10,Chad Pipkens,280,20,1216,,,,260
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,11,Gerald Swindle,208,20,1216,,,,257
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,12,John Murray,179,20,1207,,,,254
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,13,Jason Christie,264,15,931,,,,251
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,14,Kevin VanDam,118,15,926,,,,248
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,15,Dennis Tietje,211,15,919,,,,245
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,16,Chris Zaldain,263,15,917,,,,243
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,17,Casey Scanlon,262,15,917,,,,241
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,18,Bobby Lane,167,15,915,,,,239
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,19,Yusuke Miyazaki,176,15,914,,,,237
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,20,Mark Davis,148,15,909,,,,235
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,21,Greg Vinson,213,15,902,,,,233
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,22,Andy Montgomery,177,15,899,,,,231
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,23,Keith Combs,143,15,899,,,,229
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,24,Morizo Shimizu,201,15,883,,,,227
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,25,Edwin Evers,152,15,881,,,,225
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,26,Mike McClelland,123,15,878,,,,223
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,27,Brent Chapman,126,15,875,,,,221
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,28,Derek Remitz,191,15,874,,,,219
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,29,Cliff Pace,183,15,868,,,,217
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,30,Kotaro Kiriyama,164,15,867,,,,215
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,31,Hank Cherry,265,15,860,,,,213
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,32,Jared Lintner,170,15,860,,,,211
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,33,Jeremy Starks,206,15,858,,,,209
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,34,Bill Lowen,171,15,857,,,,207
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,35,Tommy Biffle,137,15,856,,,,205
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,36,Davy Hite,162,15,856,,,,203
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,37,Matt Greenblatt,155,15,854,,,,201
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,38,James Elam,277,15,842,,,,199
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,39,John Crews,146,15,841,,,,197
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,40,David Walker,214,15,837,,,,195
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,41,Stephen Browning,140,15,837,,,,193
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,42,Charlie Hartley,158,15,834,,,,191
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,43,Britt Myers,180,15,828,,,,189
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,44,Randy Howell,131,15,823,,,,187
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,45,Timmy Horton,163,15,816,,,,185
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,46,J Todd Tucker,212,15,801,,,,183
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,47,Bradley Roy,197,15,784,,,,181
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,48,Terry Scroggins,200,15,784,,,,179
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,49,Scott Rook,194,15,776,,,,177
St. Lawrence River Showdown,2013,August 8-11 2013,St. Lawrence River,NY,50,Kevin Short,202,15,738,,,,175
