tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,1,Skeet Reese,117,20,742,,,5,305
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,2,Aaron Martens,119,20,710,,,,300
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,3,Pete Ponds,187,20,705,,,,290
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,4,Hank Cherry,265,20,658,,,,285
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,5,Todd Faircloth,120,19,625,,,5,280
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,6,Chris Zaldain,263,20,622,,,,276
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,7,Cliff Pace,183,20,618,,,,272
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,8,Greg Vinson,213,20,609,,,,268
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,9,Rick Clunn,142,17,597,,,,264
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,10,Tommy Biffle,137,14,558,,40,,305
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,11,Casey Ashley,135,17,549,,,,257
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,12,Cliff Crochet,147,10,479,,,,254
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,13,Andy Montgomery,177,15,470,,,,251
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,14,Keith Combs,143,15,468,40,,5,293
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,15,Davy Hite,162,15,457,,,,245
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,16,Fletcher Shryock,244,15,450,,,,243
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,17,Alton Jones,130,14,449,,,,241
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,18,Kenyon Hill,161,15,444,,,,239
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,19,Yusuke Miyazaki,176,12,442,,,,237
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,20,Mark Davis,148,15,437,,,,235
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,21,Nate Wellman,216,15,436,,,,233
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,22,Dean Rojas,193,15,436,,,,231
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,23,Scott Rook,194,15,435,,,,229
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,24,Brandon Palaniuk,184,13,435,,,,227
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,25,Rick Morris,178,15,428,,,,225
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,26,Ott Defoe,149,13,426,,,,223
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,27,Kevin VanDam,118,15,420,,,,221
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,28,Gerald Swindle,208,14,411,,,,219
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,29,Timmy Horton,163,13,410,,,,217
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,30,Edwin Evers,152,12,408,,,5,215
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,31,Bill Lowen,171,13,407,,,,213
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,32,Cliff Pirch,282,15,402,,,,211
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,33,John Crews,146,12,401,,,,209
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,34,Marty Robinson,192,14,398,,,,207
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,35,Britt Myers,180,15,388,,,,205
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,36,Ishama Monroe,224,15,387,,,,203
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,37,Gary Klein,121,15,383,,,,201
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,38,Jami Fralick,153,15,377,,,,199
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,39,Kevin Short,202,14,369,,,,197
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,40,Fred Roumbanis,195,15,369,,,,195
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,41,Brian Snowden,205,13,361,,,,193
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,42,Matt Reed,189,15,354,,,,191
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,43,Chris Lane,168,15,353,,,,189
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,44,Takahiro Omori,182,9,346,,,,187
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,45,Kelly Jordon,129,14,337,,,,185
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,46,Michael Iaconelli,124,15,325,,,,183
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,47,Clark Reehm,190,15,319,,,,181
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,48,Mike McClelland,123,14,314,,,,179
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,49,Kurt Dove,283,13,306,,,,177
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,50,Scott Ashmore,136,12,283,,,,175
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,51,John Murray,179,10,225,,,,173
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,52,Jason Quinn,188,10,223,,,,171
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,53,Stephen Kennedy,128,9,223,,,,169
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,54,Bernie Schultz,199,9,222,,,,167
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,55,Bobby Lane,167,9,221,,,,165
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,56,Jonathon VanDam,220,10,220,,,,163
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,57,Zell Rowland,196,6,218,,,,161
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,58,Boyd Duckett,150,9,218,,,,159
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,59,Jared Miller,259,8,218,,,,157
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,60,Casey Scanlon,262,10,218,,,,155
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,61,Randy Howell,131,9,214,,,,153
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,62,Derek Remitz,191,10,213,,,,151
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,63,Terry Scroggins,200,8,213,,,,149
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,64,Jeff Kriet,165,10,213,,,,147
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,65,Matt Herren,159,10,210,,,,145
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,66,James Elam,277,10,210,,,,143
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,67,Dave Smith,204,10,208,,,,141
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,68,Cliff Prince,261,7,207,,,,139
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,69,Charlie Hartley,158,8,206,,,,137
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,70,Jason Christie,264,7,204,,,,135
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,71,Kelley Jaye,279,9,201,,,,133
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,72,Bradley Roy,197,8,194,,,,131
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,73,Chad Pipkens,280,10,194,,,,129
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,74,Russ Lane,169,9,191,,,,127
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,75,Kevin Hawk,278,8,189,,,,125
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,76,Stephen Browning,140,10,187,,,,123
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,77,David Walker,214,6,178,,,,121
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,78,Jason Williamson,218,8,174,,,,119
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,79,Kotaro Kiriyama,164,9,172,,,,117
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,80,Jeremy Starks,206,9,170,,,,115
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,81,Billy Mccaghren,173,8,166,,,,113
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,82,Michael Simonton,260,5,163,,,,111
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,83,Brent Chapman,126,7,162,,,,109
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,84,Greg Hackney,122,6,160,,,,107
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,85,Morizo Shimizu,201,6,155,,,,105
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,86,James Niggemeyer,181,6,149,,,,103
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,87,Matt Greenblatt,155,7,149,,,,101
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,88,Shaw E Grigsby,125,7,139,,,,99
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,89,Keith Poche,186,7,138,,,,97
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,90,Josh Bertrand,276,5,135,,,,95
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,91,Paul Elias,151,6,126,,,,93
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,92,Dennis Tietje,211,6,125,,,,91
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,93,Chip Porche,281,4,124,,,,89
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,94,Brandon Card,256,5,118,,,,87
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,95,Jared Lintner,170,3,116,,,,85
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,96,Byron Haseotes,223,5,115,,,,83
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,97,Grant Goldbeck,225,4,96,,,,81
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,98,J Todd Tucker,212,4,83,,,,79
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,99,Jamie Horton,249,3,58,,,,77
West Point Lake Battle,2013,May 2-5 2013,West Point Lake,GA,100,Kevin Ledoux,258,4,55,,,,75
