tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,1,Kevin VanDam,118,19,1356,,,5,300
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,2,Matt Herren,159,20,1343,,,,295
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,3,Gerald Swindle,208,20,1194,,,,290
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,4,Brett Hite,298,20,1141,,,,285
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,5,Greg Hackney,122,19,1132,,,,280
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,6,Casey Ashley,135,20,1119,,,,276
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,7,Terry Scroggins,200,20,1111,,,,272
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,8,Russ Lane,169,19,1069,,,,268
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,9,Jason Williamson,218,20,1038,,,,264
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,10,Hank Cherry,265,19,986,,40,,300
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,11,Fred Roumbanis,195,15,824,,,,257
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,12,Randall Tharp,209,15,822,,,,254
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,13,Cliff Pirch,282,15,808,,,,251
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,14,Davy Hite,162,14,802,,,,248
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,15,Tracy Adams,132,12,776,40,,5,245
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,16,Takahiro Omori,182,14,768,,,,243
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,17,Brandon Card,256,15,763,,,,241
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,18,James Niggemeyer,181,15,755,,,,239
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,19,Boyd Duckett,150,15,750,,,,237
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,20,John Crews,146,13,730,,,,235
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,21,Nate Wellman,216,14,727,,,,233
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,22,Jason Christie,264,13,725,,,,231
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,23,Andy Montgomery,177,15,707,,,,229
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,24,Bill Lowen,171,15,707,,,,227
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,25,Justin Lucas,301,14,699,,,5,225
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,26,Mike Kernan,299,13,699,,,,223
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,27,Tommy Biffle,137,13,698,,,,221
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,28,Jacob Powroznik,303,15,698,,,,219
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,29,Britt Myers,180,15,689,,,,217
Bassmaster BASSFest at Chickamauga Lake,2014,June 11-15 2014,Chickamauga Lake,TN,30,Kelly Jordon,129,13,672,,,,215
