tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,1,Jacob Powroznik,303,10,758,,,10,305
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,2,Skeet Reese,117,10,738,,,10,325
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,3,Mark Davis,148,10,717,40,40,15,310
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,4,Brian Snowden,205,10,714,,,10,285
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,5,Andy Montgomery,177,10,684,,,10,280
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,6,Brett Hite,298,10,677,,,15,281
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,7,Justin Lucas,301,10,670,,,10,272
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,8,Dean Rojas,193,10,654,,,10,268
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,9,Brandon Lester,300,10,652,,40,10,284
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,10,Chris Lane,168,10,635,,,10,260
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,11,Brandon Palaniuk,184,10,624,,,10,257
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,12,David Walker,214,10,610,,,10,254
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,13,Marty Robinson,192,10,608,,,10,251
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,14,Timmy Horton,163,10,606,,,10,248
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,15,Davy Hite,162,10,604,,,10,245
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,16,Cliff Prince,261,10,596,,,10,243
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,17,Jared Lintner,170,10,593,,,10,241
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,18,Randall Tharp,209,10,582,,,10,239
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,19,Keith Combs,143,10,581,,,10,237
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,20,Cliff Pirch,282,10,580,,,10,235
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,21,Todd Faircloth,120,10,578,,,10,233
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,22,Takahiro Omori,182,10,574,,,10,231
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,23,Michael Iaconelli,124,10,568,,,10,229
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,24,Greg Hackney,122,10,562,,,10,227
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,25,Gerald Swindle,208,10,550,,,10,225
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,26,Casey Ashley,135,10,549,,,10,223
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,27,Kevin Short,202,10,542,,,10,221
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,28,Mike McClelland,123,10,533,,,10,219
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,29,Aaron Martens,119,10,527,,,10,217
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,30,James Niggemeyer,181,10,515,,,10,215
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,31,Chris Zaldain,263,10,513,,,10,213
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,32,Alton Jones,130,10,499,,,10,211
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,33,Bobby Lane,167,10,490,,,10,209
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,34,Bernie Schultz,199,10,472,,,10,207
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,35,Matt Herren,159,9,454,,,10,205
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,36,John Crews,146,10,452,,,10,203
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,37,Scott Rook,194,10,448,,,10,201
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,38,Randy Howell,131,10,428,,,10,199
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,39,Chad Morgenthaler,289,8,421,,,10,197
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,40,Terry Scroggins,200,7,404,,,10,195
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,41,Bill Lowen,171,6,363,,,10,193
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,42,Casey Scanlon,262,8,336,,,10,191
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,43,Ott Defoe,149,5,326,,,10,189
Bassmaster Elite Series AOY Championship,2014,September 18-21 2014,Bays de Noc,MI,44,Cliff Crochet,147,5,282,,,10,187
