tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,1,Greg Hackney,122,19,1360,40,,10,355
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,2,Todd Faircloth,120,20,1213,,,5,295
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,3,Chris Zaldain,263,20,1196,,,,290
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,4,Edwin Evers,152,20,1161,,,,285
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,5,Jared Lintner,170,20,1142,,,,280
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,6,Jacob Powroznik,303,20,1131,,40,,316
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,7,Brent Chapman,126,20,1117,,,,272
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,8,Brandon Palaniuk,184,20,1104,,,5,273
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,9,Kevin Short,202,20,1082,,,,264
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,10,Matt Herren,159,20,1056,,,,260
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,11,Dean Rojas,193,20,1037,,,,257
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,12,Paul Elias,151,17,944,,,,254
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,13,Mike McClelland,123,15,783,,,,251
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,14,David Walker,214,15,771,,,,248
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,15,Aaron Martens,119,15,770,,,,245
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,16,Mark Davis,148,15,768,,,,243
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,17,Brandon Lester,300,15,768,,,,241
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,18,Casey Scanlon,262,15,767,,,,239
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,19,Michael Iaconelli,124,15,764,,,,237
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,20,Brandon Card,256,15,763,,,,235
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,21,Fred Roumbanis,195,15,757,,,,233
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,22,Marty Robinson,192,15,750,,,,231
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,23,Cliff Pirch,282,15,748,,,,229
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,24,Davy Hite,162,15,746,,,,227
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,25,Randall Tharp,209,15,731,,,,225
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,26,Keith Combs,143,15,730,,,,223
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,27,James Niggemeyer,181,15,726,,,,221
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,28,Randy Howell,131,15,724,,,,219
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,29,Justin Lucas,301,15,714,,,,217
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,30,Morizo Shimizu,201,15,714,,,,215
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,31,Casey Ashley,135,15,713,,,,213
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,32,Derek Remitz,191,15,713,,,,211
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,33,James Elam,277,15,704,,,,209
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,34,Bobby Lane,167,15,701,,,,207
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,35,Kevin Hawk,278,15,698,,,,205
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,36,Andy Montgomery,177,15,692,,,,203
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,37,Bernie Schultz,199,15,691,,,,201
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,38,Nate Wellman,216,15,676,,,,199
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,39,Matt Reed,189,15,676,,,,197
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,40,Jonathon VanDam,220,15,670,,,,195
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,41,Brian Snowden,205,15,670,,,,193
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,42,Jeff Kriet,165,15,659,,,,191
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,43,Bill Lowen,171,15,658,,,,189
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,44,Tracy Adams,132,15,652,,,,187
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,45,Mike Kernan,299,13,641,,,,185
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,46,Russ Lane,169,15,637,,,,183
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,47,Boyd Duckett,150,14,629,,,,181
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,48,Josh Bertrand,276,15,614,,,,179
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,49,Ishama Monroe,224,15,613,,,,177
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,50,Skeet Reese,117,15,609,,,,175
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,51,David Mullins,302,10,448,,,,173
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,52,Jeremy Starks,206,10,445,,,,171
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,53,Cliff Prince,261,10,443,,,,169
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,54,John Crews,146,10,438,,,,167
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,55,Shaw E Grigsby,125,10,435,,,,165
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,56,Chad Morgenthaler,289,10,434,,,,163
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,57,Kurt Dove,283,10,430,,,,161
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,58,Stephen Kennedy,128,10,428,,,,159
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,59,Cliff Crochet,147,10,422,,,,157
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,60,J Todd Tucker,212,10,422,,,,155
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,61,Glenn Browne,297,10,414,,,,153
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,62,Greg Vinson,213,10,414,,,,151
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,63,Timmy Horton,163,10,409,,,,149
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,64,Chad Pipkens,280,10,405,,,,147
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,65,Rick Morris,178,10,400,,,,145
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,66,Scott Rook,194,10,393,,,,143
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,67,Fletcher Shryock,244,10,392,,,,141
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,68,Bradley Roy,306,10,391,,,,139
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,69,Michael Simonton,260,10,389,,,,137
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,70,Kevin VanDam,118,10,388,,,,135
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,71,Ott Defoe,149,10,384,,,,133
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,72,Chris Lane,168,10,376,,,,131
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,73,Terry Scroggins,200,10,369,,,,129
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,74,Zell Rowland,196,10,367,,,,127
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,75,Gary Klein,121,10,367,,,,125
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,76,Jared Miller,259,9,367,,,,123
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,77,Jason Christie,264,7,365,,,,121
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,78,Stephen Browning,140,10,365,,,,119
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,79,Brett Hite,298,10,361,,,,117
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,80,Dennis Tietje,211,10,354,,,,115
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,81,Hank Cherry,265,10,340,,,,113
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,82,Jamie Horton,249,10,340,,,,111
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,83,Gerald Swindle,208,10,339,,,,109
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,84,Pete Ponds,187,10,339,,,,107
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,85,Jason Williamson,218,10,331,,,,105
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,86,Billy Mccaghren,173,10,331,,,,103
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,87,Byron Velvick,255,10,331,,,,101
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,88,Joel Baker,296,8,327,,,,99
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,89,Alton Jones,130,10,327,,,,97
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,90,Takahiro Omori,182,9,319,,,,95
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,91,Grant Goldbeck,225,7,315,,,,93
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,92,Kenyon Hill,161,10,307,,,,91
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,93,Charlie Hartley,158,10,303,,,,89
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,94,Yusuke Miyazaki,176,9,299,,,,87
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,95,Kelley Jaye,279,9,298,,,,85
Bassmaster Elite Series at Cayuga Lake,2014,August 21-24 2014,Cayuga Lake,NY,96,Dave Smith,204,10,296,,,,83
