tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,1,Jason Christie,264,20,1155,,,,305
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,2,Gerald Swindle,208,20,1151,,,5,295
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,3,Greg Hackney,122,20,1147,,,,300
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,4,Rick Clunn,142,20,1135,,,,285
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,5,Keith Combs,143,20,1091,,,,280
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,6,Michael Iaconelli,124,20,1074,,,,276
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,7,Cliff Crochet,147,20,1070,,,,272
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,8,Chris Zaldain,263,20,1066,,,,268
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,9,John Crews,146,20,1054,,,5,269
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,10,Paul Elias,151,20,1036,,,5,260
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,11,Takahiro Omori,182,20,1014,,,5,257
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,12,Skeet Reese,117,20,957,,,,254
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,13,David Walker,214,15,773,,,,251
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,14,Bernie Schultz,199,15,772,,,,248
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,15,Aaron Martens,119,15,766,,,,245
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,16,Keith Poche,186,15,759,,,,243
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,17,Zell Rowland,196,15,758,40,40,5,321
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,18,Boo Woods,305,15,758,,,,239
Bassmaster Elite Series at Lake Dardanelle,2014,May 15-18 2014,Lake Dardanelle,AR,19,Cliff Prince,261,15,748,,,,237
