tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,1,Brett Hite,298,20,1562,,,,315
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,2,Todd Faircloth,120,20,1354,,,5,295
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,3,Mark Davis,148,20,1289,,,,290
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,4,Takahiro Omori,182,20,1252,,,,285
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,5,Kevin Short,202,20,1222,,,,280
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,6,Aaron Martens,119,19,1163,,,5,276
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,7,Bernie Schultz,199,18,1152,,40,,312
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,8,Shaw E Grigsby,125,19,1132,40,,5,313
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,9,Byron Velvick,255,16,1078,,,,264
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,10,Justin Lucas,301,17,1003,,,5,260
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,11,Andy Montgomery,177,17,954,,,,257
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,12,Charlie Hartley,158,16,919,,,,254
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,13,Jared Lintner,170,15,857,,,,251
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,14,Jason Christie,264,15,854,,,,248
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,15,Chad Morgenthaler,289,14,842,,,,245
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,16,James Niggemeyer,181,13,830,,,,243
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,17,Alton Jones,130,15,826,,,,241
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,18,David Walker,214,15,825,,,,239
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,19,Gerald Swindle,208,15,813,,,,237
Bassmaster Elite Series at Lake Seminole,2014,March 13-16 2014,Lake Seminole,GA,20,Nate Wellman,216,15,811,,,,235
