tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,1,Chris Lane,168,20,1453,40,,5,355
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,2,Dean Rojas,193,20,1225,,,5,295
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,3,Mark Davis,148,20,1204,,,,290
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,4,Alton Jones,130,20,1191,,,,285
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,5,Davy Hite,162,20,1171,,,5,280
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,6,David Walker,214,20,1149,,,,276
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,7,Randy Howell,131,20,1148,,,5,277
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,8,Keith Combs,143,20,1123,,,,268
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,9,Justin Lucas,301,20,1114,,,,264
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,10,Todd Faircloth,120,20,1097,,,,260
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,11,Jason Williamson,218,19,1040,,,,257
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,12,Paul Elias,151,20,1021,,,,254
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,13,Randall Tharp,209,15,866,,,,251
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,14,Bobby Lane,167,15,859,,,,248
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,15,Jacob Powroznik,303,15,848,,,,245
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,16,Greg Hackney,122,15,843,,40,,283
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,17,Mike Kernan,299,15,833,,,,241
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,18,Jared Lintner,170,15,827,,,,239
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,19,Scott Rook,194,15,816,,,,237
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,20,Chad Morgenthaler,289,15,809,,,,235
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,21,Matt Herren,159,15,804,,,,233
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,22,Gerald Swindle,208,15,787,,,,231
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,23,Fred Roumbanis,195,15,781,,,,229
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,24,Casey Ashley,135,15,775,,,,227
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,25,Andy Montgomery,177,15,766,,,,225
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,26,Ott Defoe,149,15,760,,,,223
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,27,Terry Scroggins,200,15,734,,,,221
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,28,Russ Lane,169,15,728,,,,219
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,29,Stephen Kennedy,128,15,727,,,,217
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,30,Grant Goldbeck,225,15,715,,,,215
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,31,Jeff Kriet,165,15,713,,,,213
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,32,Cliff Crochet,147,13,712,,,,211
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,33,Nate Wellman,216,15,707,,,,209
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,34,Takahiro Omori,182,15,706,,,,207
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,35,Pete Ponds,187,15,699,,,,205
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,36,Mike McClelland,123,15,695,,,,203
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,37,Aaron Martens,119,15,692,,,,201
Bassmaster Elite Series at St. Johns River,2014,March 20-23 2014,St. Johns River,FL,38,Casey Scanlon,262,15,684,,,,199
