tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,1,Mike McClelland,123,20,991,,,,310
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,2,Mark Davis,148,20,978,,,,300
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,3,Greg Hackney,122,20,975,,,5,290
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,4,Aaron Martens,119,20,961,,40,5,330
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,5,Kevin VanDam,118,20,959,,,5,280
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,6,Edwin Evers,152,20,955,,,,276
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,7,Jeff Kriet,165,20,949,,,,272
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,8,Brandon Palaniuk,184,20,945,,,,268
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,9,Cliff Prince,261,20,927,40,,5,304
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,10,Bill Lowen,171,20,893,,,,260
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,11,Kevin Hawk,278,20,875,,,,257
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,12,Jared Lintner,170,20,866,,,,254
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,13,Skeet Reese,117,15,653,,,,251
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,14,Paul Elias,151,15,653,,,,248
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,15,Morizo Shimizu,201,15,650,,,,245
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,16,Casey Scanlon,262,15,649,,,,243
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,17,Chris Lane,168,14,647,,,,241
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,18,Timmy Horton,163,15,646,,,,239
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,19,Britt Myers,180,15,640,,,,237
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,20,Rick Morris,178,15,638,,,,235
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,21,Bobby Lane,167,15,626,,,,233
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,22,Keith Combs,143,15,625,,,,231
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,23,Jason Christie,264,15,624,,,,229
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,24,Kelley Jaye,279,15,618,,,,227
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,25,Scott Rook,194,15,610,,,,225
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,26,Billy Mccaghren,173,15,607,,,,223
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,27,Casey Ashley,135,15,602,,,,221
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,28,Brent Chapman,126,15,599,,,,219
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,29,Keith Poche,186,15,598,,,,217
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,30,Randy Howell,131,15,595,,,,215
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,31,John Crews,146,15,594,,,,213
Bassmaster Elite Series at Table Rock Lake,2014,April 3-6 2014,Table Rock Lake,MO,32,Jacob Powroznik,303,15,591,,,,211
