tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,1,Jacob Powroznik,303,20,1276,,,,310
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,2,Chad Morgenthaler,289,20,1238,,,5,295
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,3,Randall Tharp,209,20,1226,,,,290
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,4,Mark Davis,148,20,1191,,,,285
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,5,Casey Ashley,135,20,1180,,,,280
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,6,Dean Rojas,193,20,1172,,,5,281
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,7,Skeet Reese,117,20,1168,,,,272
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,8,Chris Zaldain,263,20,1131,,40,,308
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,9,Todd Faircloth,120,20,1096,,,,264
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,10,Jonathon VanDam,220,20,1095,,,,260
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,11,Jared Lintner,170,17,1075,40,,5,302
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,12,Cliff Crochet,147,20,1047,,,,254
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,13,Glenn Browne,297,15,815,,,5,251
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,14,Cliff Pirch,282,15,808,,,,248
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,15,Mike Kernan,299,15,803,,,,245
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,16,Hank Cherry,265,15,799,,,,243
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,17,Scott Rook,194,15,794,,,,241
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,18,Alton Jones,130,15,792,,,,239
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,19,Kevin VanDam,118,15,784,,,,237
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,20,Keith Combs,143,15,782,,,,235
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,21,Brandon Palaniuk,184,15,774,,,,233
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,22,Brett Hite,298,15,773,,,,231
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,23,Randy Howell,131,15,769,,,,229
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,24,J Todd Tucker,212,14,758,,,,227
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,25,Rick Clunn,142,14,756,,,,225
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,26,James Niggemeyer,181,15,744,,,,223
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,27,Brent Chapman,126,15,744,,,,221
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,28,Bobby Lane,167,15,738,,,,219
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,29,Terry Scroggins,200,15,737,,,,217
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,30,David Mullins,302,15,736,,,,215
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,31,Stephen Browning,140,15,733,,,,213
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,32,Kelley Jaye,279,15,732,,,,211
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,33,Chad Pipkens,280,15,719,,,,209
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,34,Greg Hackney,122,15,714,,,,207
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,35,Russ Lane,169,15,709,,,,205
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,36,Josh Bertrand,276,15,706,,,,203
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,37,Chris Lane,168,15,703,,,,201
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,38,Marty Robinson,192,15,694,,,,199
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,39,Kotaro Kiriyama,164,15,690,,,,197
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,40,Stephen Kennedy,128,14,690,,,,195
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,41,Greg Vinson,213,15,689,,,,193
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,42,Brandon Lester,300,14,686,,,,191
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,43,Nate Wellman,216,15,677,,,,189
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,44,Gerald Swindle,208,15,665,,,,187
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,45,Kelly Jordon,129,15,663,,,,185
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,46,Mike McClelland,123,15,660,,,,183
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,47,Morizo Shimizu,201,15,656,,,,181
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,48,Brian Snowden,205,15,630,,,,179
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,49,Matt Herren,159,14,594,,,,177
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,50,Keith Poche,186,14,569,,,,175
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,51,Shaw E Grigsby,125,10,460,,,,172
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,51,James Elam,277,5,238,,,,172
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,52,John Crews,146,10,454,,,,171
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,53,Aaron Martens,119,10,453,,,,169
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,54,Brandon Card,256,10,452,,,,167
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,55,Fletcher Shryock,244,10,451,,,,165
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,56,Britt Myers,180,10,450,,,,163
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,57,Fred Roumbanis,195,10,449,,,,161
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,58,Bill Lowen,171,10,447,,,,159
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,59,Jason Williamson,218,10,446,,,,157
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,60,John Murray,179,10,446,,,,155
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,61,Billy Mccaghren,173,10,446,,,,153
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,62,Timmy Horton,163,10,440,,,,151
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,63,David Walker,214,10,440,,,,149
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,64,Tracy Adams,132,10,439,,,,147
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,65,Jeff Kriet,165,10,431,,,,145
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,66,Gary Klein,121,10,431,,,,143
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,67,Edwin Evers,152,10,427,,,,141
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,68,Jason Christie,264,9,423,,,,139
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,69,Pete Ponds,187,10,422,,,,137
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,70,Takahiro Omori,182,9,412,,,,135
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,71,Yusuke Miyazaki,176,10,412,,,,133
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,72,Paul Elias,151,10,404,,,,131
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,73,Boo Woods,305,10,394,,,,129
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,74,Derek Remitz,191,10,391,,,,127
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,75,Kenyon Hill,161,10,390,,,,125
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,76,Tommy Biffle,137,10,389,,,,123
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,77,Davy Hite,162,10,389,,,,121
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,78,Justin Lucas,301,10,388,,,,119
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,79,Jared Miller,259,10,387,,,,117
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,80,Ott Defoe,149,10,386,,,,115
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,81,Jamie Horton,249,10,384,,,,113
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,82,Michael Simonton,260,10,382,,,,111
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,83,Cliff Prince,261,10,381,,,,109
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,84,Jeremy Starks,206,10,380,,,,107
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,85,Trevor Romans,307,10,370,,,,105
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,86,Zell Rowland,196,10,369,,,,103
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,87,Kurt Dove,283,10,369,,,,101
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,88,Bernie Schultz,199,10,365,,,,99
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,89,Matt Reed,189,10,364,,,,97
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,90,Boyd Duckett,150,10,364,,,,95
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,91,Dennis Tietje,211,10,356,,,,93
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,92,Kevin Hawk,278,10,349,,,,91
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,93,Ishama Monroe,224,10,345,,,,89
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,94,Bradley Roy,306,8,342,,,,87
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,95,Grant Goldbeck,225,7,340,,,,85
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,96,Casey Scanlon,262,10,335,,,,83
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,97,Scott Ashmore,136,10,313,,,,81
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,98,Charlie Hartley,158,10,311,,,,79
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,99,Michael Iaconelli,124,10,297,,,,77
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,100,Andy Montgomery,177,9,282,,,,75
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,101,Dave Smith,204,8,272,,,,73
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,102,Byron Velvick,255,7,265,,,,71
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,103,Joseph Sancho,304,8,250,,,,69
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,104,Rick Morris,178,7,243,,,,67
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,106,Joel Baker,296,6,139,,,,63
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,107,Kevin Short,202,0,0,,,,0
Bassmaster Elite Series at Toledo Bend,2014,May 1-4 2014,Toledo Bend,LA,107,Byron Haseotes,223,0,0,,,,0
