tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,1,Aaron Martens,119,20,1122,40,40,10,400
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,2,Bill Lowen,171,20,995,,,,295
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,3,Chad Pipkens,280,18,927,,,,290
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,4,Gerald Swindle,208,20,874,,,,285
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,5,Davy Hite,162,20,836,,,,280
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,6,Bernie Schultz,199,16,823,,,,276
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,7,Russ Lane,169,20,821,,,,272
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,8,Greg Hackney,122,18,820,,,,268
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,9,Mark Menendez,175,19,772,,,,264
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,10,Carl Jocumsen,323,13,719,,,5,260
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,11,Brent Chapman,126,20,710,,,,257
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,12,Andy Montgomery,177,16,621,,,,254
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,13,Brent Ehrler,319,13,560,,,,251
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,14,Morizo Shimizu,201,11,553,,,,248
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,15,Skeet Reese,117,13,541,,,,245
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,16,Bradley Roy,306,15,534,,,,243
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,17,Todd Faircloth,120,13,532,,,,241
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,18,Brandon Card,256,12,528,,,,239
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,19,Jason Christie,264,11,528,,,,237
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,20,Brandon Palaniuk,184,15,517,,,,235
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,21,Jacob Powroznik,303,10,512,,,5,233
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,22,Scott Rook,194,12,503,,,,231
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,23,Justin Lucas,301,15,495,,,,229
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,24,Brett Hite,298,14,492,,,,227
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,25,David Walker,214,11,488,,,,225
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,26,Randy Howell,131,10,487,,,,223
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,27,J Todd Tucker,212,14,484,,,,221
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,28,Jordan Lee,288,13,478,,,,219
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,29,Mike Kernan,299,15,477,,,,217
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,30,Cliff Pirch,282,12,467,,,,215
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,31,James Elam,277,10,457,,,,213
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,32,Chris Lane,168,12,449,,,,211
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,33,Kurt Dove,283,15,447,,,,209
Bassmaster Elite Series at Delaware River,2015,February 7-10 2015,Delaware River,PA,34,Josh Bertrand,276,15,431,,,,207
