tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,1,Edwin Evers,152,20,1556,,40,,355
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,2,Kevin VanDam,118,20,1508,,,5,295
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,3,Brett Hite,298,20,1465,,,,290
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,4,Timmy Horton,163,20,1416,,,,285
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,5,Fred Roumbanis,195,20,1401,,,5,280
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,6,Micah Frazier,321,20,1399,,,,276
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,7,Derek Remitz,191,20,1396,40,,5,312
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,8,Brandon Card,256,20,1389,,,,268
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,9,Brandon Lester,300,20,1366,,,,264
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,10,Billy Mccaghren,173,20,1284,,,,260
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,11,Andy Montgomery,177,20,1239,,,,257
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,12,Kotaro Kiriyama,164,19,1151,,,,254
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,13,Aaron Martens,119,15,955,,,,251
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,14,Brent Ehrler,319,15,952,,,,248
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,15,Ott Defoe,149,15,947,,,5,250
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,16,Gerald Swindle,208,15,946,,,,243
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,17,David Mullins,302,15,931,,,,241
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,18,Stephen Kennedy,128,14,928,,,,239
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,19,Fletcher Shryock,244,15,922,,,,237
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,20,Brandon Coulter,318,15,920,,,,235
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,21,Matt Lee,274,15,894,,,,233
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,22,Keith Combs,143,15,887,,,,231
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,23,Jason Williamson,218,15,871,,,,229
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,24,Randall Tharp,209,15,869,,,,227
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,25,Jason Christie,264,15,860,,,,225
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,26,Britt Myers,180,15,854,,,,223
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,27,Ken Iyobe,322,15,852,,,,221
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,28,Russ Lane,169,15,851,,,,219
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,29,Morizo Shimizu,201,15,850,,,,217
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,30,Jordan Lee,288,15,846,,,,215
Elite Series Tournament: Bassmaster BASSfest at Kentucky Lake,2015,June 3-7 2015,Kentucky Lake,KY,31,Randy Howell,131,15,840,,,,213
