tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,1,Aaron Martens,119,20,1122,40,40,10,400
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,2,Bill Lowen,171,20,995,,,,295
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,3,Chad Pipkens,280,18,927,,,,290
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,4,Gerald Swindle,208,20,874,,,,285
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,5,Davy Hite,162,20,836,,,,280
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,6,Bernie Schultz,199,16,823,,,,276
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,7,Russ Lane,169,20,821,,,,272
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,8,Greg Hackney,122,18,820,,,,268
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,9,Mark Menendez,175,19,772,,,,264
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,10,Carl Jocumsen,323,13,719,,,5,260
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,11,Brent Chapman,126,20,710,,,,257
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,12,Andy Montgomery,177,16,621,,,,254
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,13,Brent Ehrler,319,13,560,,,,251
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,14,Morizo Shimizu,201,11,553,,,,248
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,15,Skeet Reese,117,13,541,,,,245
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,16,Bradley Roy,306,15,534,,,,243
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,17,Todd Faircloth,120,13,532,,,,241
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,18,Brandon Card,256,12,528,,,,239
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,19,Jason Christie,264,11,528,,,,237
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,20,Brandon Palaniuk,184,15,517,,,,235
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,21,Jacob Powroznik,303,10,512,,,5,233
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,22,Scott Rook,194,12,503,,,,231
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,23,Justin Lucas,301,15,495,,,,229
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,24,Brett Hite,298,14,492,,,,227
Elite Series Tournament: Chesapeake Bay,2015,August 13-16 2015,Chesapeake Bay,MD,25,David Walker,214,11,488,,,,225
