tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,1,Skeet Reese,117,20,1483,,,10,305
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,2,Byron Velvick,255,20,1409,,,,295
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,3,Derek Remitz,191,20,1365,,,,290
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,4,David Walker,214,20,1352,,,,285
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,5,Keith Combs,143,20,1334,,,,280
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,6,Carl Jocumsen,323,20,1311,,,5,276
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,7,Jason Christie,264,20,1311,,,,272
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,8,Greg Vinson,213,20,1262,,,,268
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,9,Brent Ehrler,319,20,1249,,,,264
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,10,Chad Morgenthaler,289,20,1222,,,,260
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,11,Dean Rojas,193,20,1204,,,,257
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,12,Michael Iaconelli,124,16,1159,40,,5,309
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,13,Brett Hite,298,15,964,,,,251
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,14,John Crews,146,15,959,,,,248
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,15,Jason Williamson,218,15,946,,,,245
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,16,Alton Jones,130,15,939,,,,243
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,17,Hank Cherry,265,14,930,,,,241
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,18,Matt Lee,274,15,927,,,,239
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,19,Jacob Powroznik,303,15,923,,,,237
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,20,Edwin Evers,152,15,923,,,,235
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,21,Bill Lowen,171,15,920,,,,233
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,22,Marty Robinson,192,15,909,,,,231
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,23,Matt Herren,159,15,890,,,,229
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,24,Shaw E Grigsby,125,15,888,,,,227
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,25,Kelly Jordon,129,14,886,,,,225
Elite Series Tournament: Lake Guntersville,2015,April 9-12 2015,Lake Guntersville,AL,26,Gerald Swindle,208,15,878,,,,223
