tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,1,Aaron Martens,119,20,1097,,,5,305
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,2,Cliff Pirch,282,20,1065,,,5,305
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,3,Edwin Evers,152,20,1040,40,,5,335
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,4,Takahiro Omori,182,20,1033,,,5,285
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,5,David Williams,326,20,1006,,,,280
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,6,Dean Rojas,193,20,983,,,,276
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,7,Casey Ashley,135,20,980,,,,272
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,8,Justin Lucas,301,20,974,,,,268
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,9,Jonathon VanDam,220,20,974,,,,264
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,10,Brandon Palaniuk,184,20,968,,,,260
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,11,Gary Klein,121,20,960,,,,257
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,12,John Murray,179,18,819,,,,254
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,13,Brent Ehrler,319,15,734,,,,251
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,14,Chad Morgenthaler,289,15,728,,,,248
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,15,James Niggemeyer,181,15,725,,,,245
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,16,Jared Lintner,170,15,722,,,,243
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,17,Ott Defoe,149,15,721,,,,241
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,18,Stephen Kennedy,128,15,721,,,,239
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,19,Jeff Kriet,165,15,720,,,,237
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,20,Bradley Roy,306,15,705,,,,235
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,21,Davy Hite,162,15,704,,,,233
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,22,Stephen Browning,140,15,701,,,,231
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,23,Shaw E Grigsby,125,15,698,,,,229
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,24,Dennis Tietje,211,15,698,,,,227
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,25,Jared Miller,259,15,697,,,,225
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,26,Micah Frazier,321,15,696,,,,223
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,27,Randy Howell,131,15,694,,,,221
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,28,Alton Jones,130,15,691,,,,219
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,29,Randall Tharp,209,15,690,,,,217
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,30,Josh Bertrand,276,15,690,,,,215
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,31,Jacob Powroznik,303,15,687,,,,213
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,32,Matt Herren,159,15,683,,,,211
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,33,Morizo Shimizu,201,14,683,,,,209
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,34,Kevin Short,202,15,678,,,,207
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,35,Bobby Lane,167,15,677,,,,205
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,36,Cliff Prince,261,15,677,,,,203
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,37,Kelly Jordon,129,15,670,,,,201
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,38,David Walker,214,15,661,,,,199
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,39,Bill Lowen,171,15,659,,,,197
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,40,Seth Feider,320,15,659,,,,195
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,41,Brian Snowden,205,15,657,,,,193
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,42,Ishama Monroe,224,15,655,,,,191
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,43,Greg Hackney,122,15,645,,,,189
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,44,Chris Lane,168,14,644,,,,187
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,45,Greg Vinson,213,15,642,,,,185
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,46,Bernie Schultz,199,15,635,,,,183
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,47,Casey Scanlon,262,15,631,,,,181
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,48,Paul Mueller,294,14,595,,,,179
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,49,David Mullins,302,12,586,,,,177
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,50,Mike Kernan,299,13,570,,40,,215
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,51,Brandon Card,256,13,557,,,,173
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,52,Chad Pipkens,280,10,464,,,,171
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,53,Yusuke Miyazaki,176,10,438,,,,169
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,54,Michael Iaconelli,124,10,436,,,,167
Elite Series Tournament: Lake Havasu,2015,May 7-10 2015,Lake Havasu,AZ,55,Terry Scroggins,200,10,432,,,,165
