tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,1,Todd Faircloth,120,20,1351,,40,5,345
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,2,Brandon Palaniuk,184,20,1254,,40,,345
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,3,Chris Lane,168,20,1240,40,,5,330
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,4,Chad Pipkens,280,20,1234,,,5,285
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,5,Greg Vinson,213,20,1220,,,,280
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,6,Aaron Martens,119,20,1207,,,,276
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,7,Jason Christie,264,20,1204,,,,272
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,8,Jonathon VanDam,220,20,1202,,,,268
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,9,Brett Hite,298,20,1186,,,,264
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,10,James Elam,277,20,1172,,,,260
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,11,Keith Poche,186,20,1167,,,,257
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,12,Fletcher Shryock,244,20,1153,,,5,254
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,13,Casey Ashley,135,15,886,,,,251
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,14,Dave Smith,204,15,882,,,,248
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,15,Koby Kreiger,324,15,879,,,,245
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,16,Nate Wellman,216,15,878,,,,243
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,17,John Crews,146,15,873,,,,241
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,18,Edwin Evers,152,15,872,,,,239
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,19,David Williams,326,15,871,,,,237
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,20,Randy Allen,317,15,870,,,,235
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,21,Boyd Duckett,150,15,868,,,,233
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,22,Chris Zaldain,263,15,866,,,,231
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,23,Charlie Hartley,158,15,863,,,,229
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,24,Alton Jones,130,13,860,,,5,232
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,25,Kelley Jaye,279,15,858,,,,225
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,26,Matt Herren,159,15,855,,,,223
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,27,Bernie Schultz,199,15,851,,,,221
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,28,Jason Williamson,218,15,844,,,,219
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,29,Jordan Lee,288,15,841,,,,217
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,30,J Todd Tucker,212,15,836,,,,215
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,31,John Murray,179,15,836,,,,213
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,32,Gary Klein,121,15,822,,,,211
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,33,Brandon Coulter,318,15,814,,,,209
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,34,Takahiro Omori,182,15,813,,,,207
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,35,Dean Rojas,193,15,806,,,,205
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,36,Casey Scanlon,262,15,805,,,,203
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,37,Stephen Kennedy,128,15,802,,,,201
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,38,Micah Frazier,321,15,800,,,,199
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,39,Kevin Hawk,278,15,796,,,,197
Elite Series Tournament: Lake St. Clair,2015,August 27-30 2015,Lake St. Clair,MI,40,Scott Rook,194,15,793,,,,195
