tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,1,Chris Lane,168,20,800,40,,5,360
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,2,Mike McClelland,123,19,736,,,5,295
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,3,Aaron Martens,119,19,712,,,,290
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,4,Brandon Lester,300,18,690,,,,285
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,5,Greg Hackney,122,20,686,,,,280
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,6,John Crews,146,16,665,40,,5,316
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,7,Shaw E Grigsby,125,16,633,,,,272
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,8,Scott Rook,194,16,604,,,,268
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,9,Todd Faircloth,120,15,583,,,,264
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,10,Justin Lucas,301,17,578,,,,260
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,11,Keith Poche,186,19,559,,,,257
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,12,Mike Kernan,299,4,132,,,,254
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,12,Micah Frazier,321,15,506,,,,254
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,13,Mark Davis,148,13,436,,,,251
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,14,Boyd Duckett,150,13,431,,,,248
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,15,Davy Hite,162,12,425,,,,245
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,16,David Williams,326,11,422,,,5,243
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,17,Chris Zaldain,263,12,394,,,,241
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,18,Marty Robinson,192,12,392,,,,239
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,19,Dean Rojas,193,12,392,,,,237
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,20,Greg Vinson,213,13,388,,,,235
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,21,Brandon Coulter,318,11,371,,,,233
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,22,Jordan Lee,288,10,364,,,,231
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,23,Matt Herren,159,11,343,,,,229
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,24,Gerald Swindle,208,11,339,,,,227
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,25,Mark Menendez,175,10,331,,,,225
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,26,Terry Scroggins,200,8,330,,40,,263
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,27,Cliff Pace,183,11,320,,,,221
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,28,Tommy Biffle,137,10,316,,,,219
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,29,Hank Cherry,265,11,313,,,,217
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,30,Michael Iaconelli,124,11,310,,,,215
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,31,Randy Howell,131,12,307,,,,213
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,32,Russ Lane,169,9,303,,,,211
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,34,Casey Scanlon,262,11,295,,,,207
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,35,Ken Iyobe,322,6,294,,,,205
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,36,Dave Smith,204,10,291,,,,203
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,37,Brent Chapman,126,8,287,,,,201
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,38,Stephen Browning,140,8,286,,,,199
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,39,Brandon Card,256,8,284,,,,197
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,40,Cliff Pirch,282,9,281,,,,195
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,41,Jonathon VanDam,220,10,281,,,,193
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,42,Derek Remitz,191,8,279,,,,191
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,43,Ishama Monroe,224,10,270,,,,189
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,44,Casey Ashley,135,7,268,,,,187
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,45,Cliff Crochet,147,8,266,,,,185
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,46,Kevin VanDam,118,7,259,,,,183
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,47,Jeff Kriet,165,7,244,,,,181
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,48,Bernie Schultz,199,7,228,,,,179
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,49,Keith Combs,143,7,221,,,,177
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,50,Paul Elias,151,8,215,,,,175
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,51,Kotaro Kiriyama,164,6,213,,,,173
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,52,Skeet Reese,117,5,192,,,,171
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,53,Kurt Dove,283,6,187,,,,169
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,54,Dennis Tietje,211,7,302,,,,167
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,55,Koby Kreiger,324,7,184,,,,165
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,56,Matt Lee,274,6,182,,,,163
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,57,Ott Defoe,149,7,182,,,,161
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,58,Bill Lowen,171,5,181,,,,159
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,59,Boo Woods,305,6,176,,,,157
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,60,Fletcher Shryock,244,6,176,,,,155
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,61,Randall Tharp,209,6,172,,,,153
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,62,J Todd Tucker,212,6,171,,,,151
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,63,John Murray,179,6,171,,,,149
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,64,Jacob Powroznik,303,5,168,,,,147
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,65,Nate Wellman,216,6,167,,,,145
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,66,Morizo Shimizu,201,6,167,,,,143
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,67,Timmy Horton,163,4,165,,,,141
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,68,Andy Montgomery,177,5,162,,,,139
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,69,Brian Snowden,205,5,154,,,,137
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,70,James Elam,277,5,154,,,,135
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,71,Billy Mccaghren,173,5,147,,,,133
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,72,Rick Clunn,142,5,145,,,,131
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,73,Seth Feider,320,5,143,,,,129
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,74,Jared Miller,259,5,139,,,,127
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,75,Takahiro Omori,182,5,138,,,,125
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,76,Britt Myers,180,5,134,,,,123
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,77,Gary Klein,121,4,127,,,,121
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,78,Matt Reed,189,4,125,,,,119
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,79,Kelly Jordon,129,5,124,,,,117
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,80,Chad Morgenthaler,289,4,121,,,,115
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,81,Jason Christie,264,4,114,,,,113
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,82,James Niggemeyer,181,4,114,,,,111
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,83,Kevin Hawk,278,4,110,,,,109
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,84,Kenyon Hill,161,4,105,,,,107
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,85,Josh Bertrand,276,4,105,,,,105
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,86,David Mullins,302,4,104,,,,103
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,87,Brent Ehrler,319,3,92,,,,101
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,88,Brett Hite,298,3,90,,,,99
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,89,Randy Allen,317,3,82,,,,97
Elite Series Tournament: Sabine River,2015,March 19-22 2015,Sabine River,TX,90,Paul Mueller,294,2,81,,,,95
