tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,1,Justin Lucas,301,20,1326,,,,310
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,2,Aaron Martens,119,20,1287,,,5,300
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,3,Dean Rojas,193,20,1250,,,5,290
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,4,Ishama Monroe,224,20,1161,,,,285
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,5,Chris Zaldain,263,20,1147,40,40,5,365
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,6,Bobby Lane,167,20,1114,,,,276
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,7,Cliff Pirch,282,18,1112,,,,272
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,8,Timmy Horton,163,19,1107,,,,268
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,9,Jason Christie,264,20,1107,,,,264
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,10,Keith Combs,143,20,1105,,,,260
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,11,Ken Iyobe,322,20,1087,,,,257
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,12,Chris Lane,168,20,1016,,,,254
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,13,Kevin VanDam,118,15,865,,,,251
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,14,Randy Allen,317,15,863,,,,248
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,15,Skeet Reese,117,15,849,,,,245
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,16,Jacob Powroznik,303,15,844,,,5,243
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,17,Bernie Schultz,199,15,816,,,,241
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,18,Billy Mccaghren,173,15,815,,,,239
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,19,Jordan Lee,288,15,811,,,,237
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,20,James Elam,277,15,790,,,,235
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,21,David Walker,214,15,784,,,,233
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,22,Greg Vinson,213,15,783,,,,231
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,23,Terry Scroggins,200,15,778,,,,229
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,24,Greg Hackney,122,15,770,,,,227
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,25,Koby Kreiger,324,15,760,,,,225
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,26,Brent Chapman,126,15,748,,,,223
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,27,Kelley Jaye,279,15,744,,,,221
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,28,Brent Ehrler,319,15,740,,,,219
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,29,Bill Lowen,171,15,735,,,,217
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,30,Cliff Prince,261,15,732,,,,215
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,31,Keith Poche,186,15,731,,,,213
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,32,Gary Klein,121,15,729,,,,211
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,33,Boyd Duckett,150,15,718,,,,209
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,34,John Crews,146,15,700,,,,207
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,35,Brandon Coulter,318,15,698,,,,205
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,36,Dennis Tietje,211,15,692,,,,203
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,37,Ott Defoe,149,15,691,,,,201
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,38,Brian Snowden,205,15,690,,,,199
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,39,John Murray,179,11,684,,,,197
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,40,Tommy Biffle,137,15,682,,,,195
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,41,Chad Pipkens,280,15,676,,,,193
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,42,Brandon Palaniuk,184,14,675,,,,191
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,43,Britt Myers,180,15,672,,,,189
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,44,James Niggemeyer,181,15,671,,,,187
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,45,Mark Menendez,175,15,661,,,,185
Elite Series Tournament: Sacramento River,2015,April 30-3 2015,Sacramento River,CA,46,Randy Howell,131,15,655,,,,183
