tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,1,Edwin Evers,152,20,1242,,,5,315
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,2,Alton Jones,130,20,1183,,,,295
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,3,Greg Hackney,122,20,1163,,,5,290
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,4,Brandon Card,256,20,1158,,,,285
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,5,Skeet Reese,117,20,1157,,,,280
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,6,Mark Davis,148,20,1150,,,,276
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,7,Jacob Powroznik,303,20,1142,,,,272
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,8,Kevin Ledoux,258,20,1122,,,,268
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,9,Keith Combs,143,20,1115,,,,264
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,10,Michael Iaconelli,124,20,1114,,,5,260
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,11,Josh Bertrand,276,19,1114,,,,257
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,12,Seth Feider,320,20,1054,,,,254
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,13,Aaron Martens,119,15,840,,,,251
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,14,Matt Herren,159,15,838,,,,248
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,15,Bernie Schultz,199,15,835,,,,245
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,16,Fred Roumbanis,195,15,832,,,,243
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,17,Chris Zaldain,263,15,827,,,,241
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,18,Billy Mccaghren,173,15,823,,,,239
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,19,Brandon Palaniuk,184,15,818,,,,237
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,20,Andy Montgomery,177,15,817,,,,235
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,21,Paul Mueller,294,15,808,,,,233
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,22,David Walker,214,15,807,,,,231
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,23,Bobby Lane,167,15,802,,,,229
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,24,Morizo Shimizu,201,15,799,,,,227
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,25,Cliff Pirch,282,15,796,,,,225
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,26,Zell Rowland,196,15,796,,,,223
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,27,Takahiro Omori,182,15,791,,,,221
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,28,Dean Rojas,193,15,790,,,,219
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,29,Casey Ashley,135,15,789,,,,217
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,30,John Murray,179,15,775,,,,215
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,31,Brent Ehrler,319,15,755,,,,213
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,32,Chad Pipkens,280,15,750,,,,211
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,33,Jordan Lee,288,15,750,,,,209
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,34,Bill Lowen,171,15,749,,,,207
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,35,Tommy Biffle,137,15,741,,,,205
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,36,Mark Menendez,175,15,736,,40,,243
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,37,Micah Frazier,321,14,735,,,,201
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,38,Stephen Browning,140,15,733,,,,199
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,39,Rick Clunn,142,15,731,,,,197
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,40,Nate Wellman,216,15,716,,,,195
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,41,Kevin VanDam,118,14,698,,,,193
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,42,Jared Lintner,170,15,698,,,,191
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,43,Hank Cherry,265,15,689,,,,189
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,44,Randy Howell,131,15,683,,,,187
Elite Series Tournament: St. Lawrence River,2015,July 30-2 2015,St. Lawrence River,NY,45,Paul Elias,151,14,682,,,,185
