tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,1,Chris Zaldain,263,15,852,,,10,305
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,2,David Walker,214,15,811,,,10,295
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,3,Alton Jones,130,15,739,,,5,290
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,4,Bobby Lane,167,13,733,,,5,285
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,5,Chad Pipkens,280,15,731,,,5,280
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,6,Jordan Lee,288,15,729,,,5,276
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,7,Ott Defoe,149,15,724,,,5,272
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,8,John Crews,146,14,717,,,5,268
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,9,Brandon Palaniuk,184,15,709,,,5,264
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,10,James Elam,277,14,699,,,5,260
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,11,Todd Faircloth,120,15,678,,,5,257
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,12,Greg Vinson,213,15,660,,,5,254
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,13,Edwin Evers,152,13,653,,,5,251
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,14,Keith Combs,143,15,649,,,5,248
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,15,Greg Hackney,122,10,636,40,,10,295
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,16,Chris Lane,168,12,632,,,5,243
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,17,Jonathon VanDam,220,12,621,,,5,241
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,18,Bill Lowen,171,12,619,,,5,239
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,19,Josh Bertrand,276,14,614,,,5,237
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,20,Michael Iaconelli,124,12,602,,,5,235
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,21,Matt Herren,159,10,591,,,5,233
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,22,Marty Robinson,192,13,579,,,5,231
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,23,Micah Frazier,321,11,575,,,5,229
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,24,Brett Hite,298,11,568,,,5,227
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,25,Kevin VanDam,118,13,567,,,5,225
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,26,Ishama Monroe,224,12,561,,,5,223
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,27,Jacob Powroznik,303,10,555,,,5,221
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,28,Aaron Martens,119,12,555,,,5,219
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,29,Morizo Shimizu,201,12,539,,,5,217
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,30,Jason Christie,264,8,538,,,5,215
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,31,Jeff Kriet,165,15,530,,,5,213
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,32,Cliff Pirch,282,12,525,,,5,211
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,33,Mark Davis,148,12,520,,,5,209
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,34,Brent Ehrler,319,12,496,,,5,207
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,35,Justin Lucas,301,11,494,,,5,205
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,36,Gerald Swindle,208,12,475,,,5,203
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,37,Brandon Card,256,10,469,,,5,201
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,38,Billy Mccaghren,173,13,467,,,5,199
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,39,Mark Menendez,175,10,463,,,5,197
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,40,Scott Rook,194,10,447,,,5,195
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,41,Boyd Duckett,150,9,428,,,5,193
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,42,Skeet Reese,117,9,416,,,5,191
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,43,Russ Lane,169,8,371,,,5,189
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,44,Stephen Kennedy,128,9,362,,,5,187
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,45,Randy Howell,131,8,337,,,5,185
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,46,Brandon Lester,300,7,296,,,5,183
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,47,Brandon Coulter,318,7,285,,40,5,221
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,48,Bernie Schultz,199,4,246,,,5,179
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,49,Dean Rojas,193,6,202,,,5,177
Elite Series Tournament: Toyota Bassmaster AOY Championship,2015,September 17-20 2015,Sturgeon Bay,WI,50,John Murray,179,3,120,,,5,175
