tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,1,Greg Hackney,122,20,1058,,,5,310
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,2,Brandon Card,256,20,1027,40,,5,335
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,3,Gerald Swindle,208,20,966,,,,290
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,4,Chad Morgenthaler,289,19,921,,,,285
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,5,Ott Defoe,149,20,907,,,,280
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,6,Casey Ashley,135,18,904,,,10,286
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,7,Rick Clunn,142,20,899,,,,272
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,8,Dean Rojas,193,20,898,,,,268
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,9,Jordan Lee,288,20,874,,,,264
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,10,Randall Tharp,209,20,866,,40,,300
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,11,Keith Poche,186,20,863,,,,257
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,12,Bradley Roy,306,20,852,,,,254
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,13,Adrian Avena,339,15,652,,,,251
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,14,Chris Zaldain,263,15,651,,,,248
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,15,David Walker,214,15,647,,,,245
2016 Bassmaster BASSfest,2016,June 8-12 2016,Lake Texoma,OK,16,Keith Combs,143,15,638,,,,243
