tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,1,Seth Feider,320,15,1221,,,15,310
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,2,Brent Ehrler,319,15,1117,,40,5,335
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,3,Dave Lefebre,346,15,1084,,,5,290
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,4,Tommy Biffle,137,15,1077,,,5,285
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,5,James Elam,277,15,1075,,,5,280
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,6,Alton Jones,130,15,1072,,,5,276
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,7,Jason Williamson,218,15,1064,,,5,272
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,8,Matt Herren,159,15,1062,,,5,268
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,9,Drew Benton,340,15,1039,,,5,264
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,10,Kevin VanDam,118,15,1027,,,5,260
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,11,Brandon Palaniuk,184,15,1022,,,5,257
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,12,Boyd Duckett,150,15,1022,,,5,254
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,13,Takahiro Omori,182,15,1019,40,,10,296
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,14,Ott Defoe,149,15,1010,,,5,248
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,15,Stephen Kennedy,128,15,1001,,,5,245
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,16,Adrian Avena,339,15,1000,,,5,243
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,17,Dean Rojas,193,15,997,,,5,241
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,18,Jason Christie,264,15,989,,,5,239
2016 Toyota Bassmaster Angler of the Year Championship,2016,September 15-18 2016,Mille Lacs Lake,MN,19,Jacob Powroznik,303,15,987,,,5,237
