tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,1,Randall Tharp,209,20,986,,,5,310
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,2,Skeet Reese,117,20,952,40,,5,335
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,3,Chris Zaldain,263,20,940,,,,295
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,4,Matt Herren,159,20,938,,40,5,330
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,5,Bill Lowen,171,20,933,,,,285
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,6,Jacob Powroznik,303,20,906,,,,276
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,7,Stephen Kennedy,128,20,889,,,,272
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,8,Adrian Avena,339,20,857,,,,268
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,9,Mike McClelland,123,20,849,,,,264
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,10,Brian Snowden,205,20,839,,,,260
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,11,Brandon Palaniuk,184,19,829,,,,257
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,12,Koby Kreiger,324,20,821,,,,254
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,13,Greg Hackney,122,15,669,,,,251
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,14,Todd Faircloth,120,15,648,,,,248
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,15,Justin Lucas,301,15,646,,,,245
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,16,Kelly Jordon,129,15,645,,,,243
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,17,Randy Howell,131,15,642,,,,241
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,18,Alton Jones,130,15,642,,,,239
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,19,Takahiro Omori,182,15,639,,,,237
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,20,Davy Hite,162,15,637,,40,,275
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,21,Dean Rojas,193,15,635,,,,233
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,22,Casey Ashley,135,15,632,,,,231
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,23,Tommy Biffle,137,14,631,,,5,229
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,24,Shaw E Grigsby,125,15,631,,,,227
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,25,Russ Lane,169,15,631,,,,225
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,26,Mark Davis,148,15,631,,,,223
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,27,Drew Benton,340,15,630,,,,221
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,28,Fred Roumbanis,195,15,628,,,,219
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,29,Fletcher Shryock,244,15,618,,,,217
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,30,Gerald Swindle,208,15,617,,,,215
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,31,David Mullins,302,15,615,,,,213
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,32,Ott Defoe,149,15,615,,,,211
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,33,Dave Lefebre,346,15,599,,,,209
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,34,Bernie Schultz,199,15,595,,,,207
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,35,Ishama Monroe,224,14,595,,,,205
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,36,Gary Klein,121,15,594,,,,203
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,37,Jeff Kriet,165,15,594,,,,201
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,38,Brandon Coulter,318,15,591,,,,199
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,39,Timmy Horton,163,15,589,,,,197
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,40,Cliff Pirch,282,14,581,,,,195
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,41,Cliff Prince,261,15,572,,,,193
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,42,Micah Frazier,321,14,568,,,,191
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,43,Paul Mueller,294,15,543,,,,189
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,44,Josh Bertrand,276,14,533,,,,187
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,45,Jason Christie,264,12,515,,,,185
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,46,Carl Jocumsen,323,12,512,,,,183
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,47,Morizo Shimizu,201,14,509,,,,181
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,48,Keith Poche,186,10,490,,,,179
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,49,Cliff Pace,183,13,479,,,,177
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,50,James Elam,277,12,467,,,,175
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,51,Brett Preuett,313,10,380,,,,173
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,52,Yusuke Miyazaki,176,10,375,,,,171
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,53,Aaron Martens,119,10,374,,,,169
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,54,Hank Cherry,265,10,372,,,,167
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,55,Andy Montgomery,177,10,371,,,,165
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,56,Brandon Card,256,10,371,,,,163
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,57,Boyd Duckett,150,10,370,,,,161
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,58,Clent Davis,343,10,370,,,,159
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,59,Rick Clunn,142,10,370,,,,157
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,60,Jason Williamson,218,10,369,,,,155
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,61,Kotaro Kiriyama,164,10,368,,,,153
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,62,Brent Chapman,126,8,366,,,,151
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,63,Brandon Lester,300,10,364,,,,149
Bassmaster Elite at Bull Shoals/Norfork,2016,April 21-24 2016,Bull Shoals/Norfolk,AR,64,Stephen Browning,140,7,359,,,,147
