tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,1,Kevin VanDam,118,20,1149,,,,305
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,2,Jordan Lee,288,20,1132,,,5,305
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,3,Brett Hite,298,20,1115,,,5,290
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,4,Jacob Powroznik,303,20,1112,,,,285
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,5,Koby Kreiger,324,20,1112,,,,280
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,6,Keith Combs,143,20,1110,,,5,276
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,7,Dean Rojas,193,20,1105,,,,272
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,8,Drew Benton,340,20,1103,,,,268
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,9,Morizo Shimizu,201,20,1099,40,40,5,349
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,10,Gerald Swindle,208,20,1082,,,,260
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,11,Michael Iaconelli,124,20,1080,,,,257
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,12,Matt Herren,159,20,1048,,,,254
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,13,Ott Defoe,149,15,849,,,,251
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,14,Todd Faircloth,120,15,842,,,,248
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,15,Alton Jones,130,15,840,,,,245
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,16,Jonathon VanDam,220,15,840,,,,243
Bassmaster Elite at Cayuga Lake,2016,June 23-26 2016,Cayuga Lake,NY,17,Seth Feider,320,15,838,,,,241
