tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,1,Justin Lucas,301,20,1166,,,10,320
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,2,Jason Christie,264,20,1095,40,,5,335
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,3,Brent Ehrler,319,20,1004,,,,290
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,4,Bill Lowen,171,20,976,,,,285
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,5,Andy Montgomery,177,20,956,,,,280
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,6,Keith Combs,143,20,950,,,,276
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,7,Randall Tharp,209,20,938,,,,272
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,8,Brett Hite,298,20,909,,,,268
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,9,Jordan Lee,288,20,865,,,,264
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,10,Gerald Swindle,208,19,854,,,,260
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,11,Fred Roumbanis,195,20,819,,,,257
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,12,Cliff Pirch,282,20,811,,40,5,294
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,13,Greg Hackney,122,15,653,,,,251
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,14,Luke Clausen,342,15,651,,,,248
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,15,Keith Poche,186,15,649,,,,245
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,16,Mark Davis,148,15,649,,,,243
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,17,Bobby Lane,167,15,647,,,,241
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,18,Cliff Pace,183,15,641,,,,239
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,19,Jason Williamson,218,15,629,,,,237
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,20,Fletcher Shryock,244,14,623,,,,235
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,21,Chris Zaldain,263,15,617,,,,233
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,22,Todd Faircloth,120,15,605,,,,231
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,23,Jared Lintner,170,11,602,,,,229
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,24,Brian Snowden,205,15,598,,,,227
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,25,Aaron Martens,119,15,591,,,,225
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,26,Chad Grigsby,344,15,581,,,,223
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,27,Edwin Evers,152,15,578,,,,221
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,28,Shaw E Grigsby,125,13,576,,,,219
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,29,Drew Benton,340,13,573,,,,217
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,30,Jeff Kriet,165,15,570,,,,215
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,31,Stephen Kennedy,128,15,556,,,,213
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,32,Timmy Horton,163,15,554,,,,211
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,33,Chad Morgenthaler,289,12,553,,,,209
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,34,Koby Kreiger,324,12,548,,,,207
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,35,Jacob Powroznik,303,11,544,,,,205
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,36,Casey Ashley,135,15,541,,,,203
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,37,Skeet Reese,117,11,532,,,,201
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,38,Alton Jones,130,14,530,,,,199
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,39,Brandon Lester,300,15,530,,,,197
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,40,Tommy Biffle,137,15,512,,,,195
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,41,Greg Vinson,213,13,507,,,,193
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,42,Bradley Roy,306,15,493,,,,191
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,43,David Williams,326,13,491,,,,189
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,44,Kelly Jordon,129,11,478,,,,187
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,45,Hank Cherry,265,13,475,,,,185
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,46,Davy Hite,162,11,467,,,,183
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,47,Chris Lane,168,13,467,,,,181
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,48,Stephen Browning,140,10,439,,,,179
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,49,Mike McClelland,123,9,384,,,,177
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,50,David Walker,214,10,374,,,,175
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,51,Ott Defoe,149,10,320,,,,173
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,52,Paul Mueller,294,10,319,,,,171
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,53,Michael Iaconelli,124,7,317,,,,169
Bassmaster Elite at Potomac River,2016,August 11-14 2016,Potomac River,MD,54,Gary Klein,121,10,317,,,,167
