tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,1,Rick Clunn,142,20,1311,40,,5,350
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,2,Greg Hackney,122,20,1247,,,,300
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,3,Marty Robinson,192,20,1221,,,,290
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,4,Drew Benton,340,20,1206,,,5,285
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,5,Brent Chapman,126,20,1186,,,,280
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,6,Cliff Prince,261,20,1174,,40,5,316
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,7,Terry Scroggins,200,20,1171,,,,272
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,8,Jason Christie,264,20,1084,,,,268
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,9,Jordan Lee,288,20,1075,,,,264
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,10,Davy Hite,162,20,1003,,,,260
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,11,Randall Tharp,209,20,993,,,,257
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,12,Justin Lucas,301,17,951,,,,254
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,13,Brandon Lester,300,15,795,,,5,256
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,14,Keith Combs,143,15,784,,,,248
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,15,Andy Montgomery,177,15,782,,,,245
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,16,Edwin Evers,152,15,780,,,,243
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,17,Hank Cherry,265,15,778,,,,241
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,18,Dean Rojas,193,15,773,,,,239
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,19,Bradley Roy,306,15,768,,,,237
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,20,Skeet Reese,117,15,767,,,,235
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,21,Jared Lintner,170,15,762,,,,233
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,22,Mike McClelland,123,15,761,,,,231
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,23,Cliff Pace,183,15,759,,,,229
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,24,Luke Clausen,342,15,756,,,,227
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,25,Ken Iyobe,322,15,753,,,,225
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,26,Billy Mccaghren,173,13,751,,,,223
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,27,Michael Iaconelli,124,15,751,,,,221
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,28,Ishama Monroe,224,15,749,,,,219
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,29,Brent Ehrler,319,15,737,,,,217
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,30,Shaw E Grigsby,125,15,733,,,,215
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,31,Kevin VanDam,118,15,727,,,,213
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,32,Todd Faircloth,120,15,727,,,,211
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,33,Seth Feider,320,15,726,,,,209
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,34,Jason Williamson,218,15,721,,,,207
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,35,Bill Lowen,171,15,720,,,,205
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,36,Stephen Browning,140,15,718,,,,203
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,37,Brandon Palaniuk,184,15,715,,,,201
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,38,Chris Zaldain,263,15,713,,,,199
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,39,Takahiro Omori,182,15,711,,,,197
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,40,Gerald Swindle,208,15,684,,,,195
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,41,John Crews,146,15,679,,,,193
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,42,Alton Jones,130,15,675,,,,191
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,43,Cliff Pirch,282,15,674,,,,189
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,44,Bernie Schultz,199,15,665,,,,187
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,45,Britt Myers,180,15,652,,,,185
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,46,Cliff Crochet,147,13,651,,,,183
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,47,Mark Menendez,175,15,649,,,,181
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,48,Chad Pipkens,280,13,644,,,,179
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,49,Greg Vinson,213,15,626,,,,177
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,50,Brian Snowden,205,14,593,,,,175
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,51,Randy Howell,131,12,519,,,,173
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,52,Aaron Martens,119,10,454,,,,171
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,53,Brett Hite,298,10,453,,,,169
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,54,Koby Kreiger,324,10,453,,,,167
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,55,Jay Brainard,341,10,448,,,,165
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,56,Dennis Tietje,211,10,448,,,,163
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,57,Micah Frazier,321,10,435,,,,161
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,58,David Mullins,302,10,431,,,,159
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,59,Scott Rook,194,10,426,,,,157
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,60,Josh Bertrand,276,10,423,,,,155
Bassmaster Elite at St. Johns River,2016,March 17-20 2016,St. Johns River,FL,61,Randy Allen,317,9,423,,,,153
