tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,1,Takahiro Omori,182,20,1302,40,,15,345
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,2,Dave Lefebre,346,20,1235,,,,305
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,3,John Crews,146,20,1060,,,5,295
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,4,Stephen Kennedy,128,20,1024,,,,285
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,5,Bobby Lane,167,20,967,,,,280
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,6,Greg Hackney,122,20,956,,,,276
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,7,Cliff Crochet,147,20,954,,,,272
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,8,James Elam,277,20,937,,,,268
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,9,Casey Ashley,135,20,928,,40,,304
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,10,Gerald Swindle,208,20,908,,40,,300
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,11,Gary Klein,121,20,844,,,,257
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,12,James Niggemeyer,181,20,801,,,,254
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,13,Brandon Card,256,15,680,,,,251
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,14,Davy Hite,162,15,672,,,,248
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,15,Matt Herren,159,15,667,,,,245
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,16,Brandon Lester,300,15,662,,,,243
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,17,Kelley Jaye,279,15,658,,,,241
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,18,David Williams,326,15,657,,,,239
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,19,Michael Iaconelli,124,15,651,,,,237
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,20,Scott Rook,194,15,649,,,,235
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,21,Josh Bertrand,276,15,648,,,,233
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,22,Randy Howell,131,12,646,,,,231
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,23,Micah Frazier,321,15,644,,,,229
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,24,Jason Williamson,218,14,642,,,,227
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,25,Fletcher Shryock,244,15,630,,,,225
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,26,Russ Lane,169,15,623,,,,223
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,27,Chris Zaldain,263,15,618,,,,221
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,28,Boyd Duckett,150,15,614,,,,219
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,29,Dean Rojas,193,15,609,,,,217
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,30,Chris Lane,168,15,602,,,,215
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,31,Hank Cherry,265,15,600,,,,213
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,32,Jason Christie,264,15,591,,,,211
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,33,Keith Poche,186,15,581,,,,209
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,34,Clent Davis,343,15,579,,,,207
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,35,Ott Defoe,149,15,577,,,,205
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,36,Edwin Evers,152,15,574,,,,203
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,37,Greg Vinson,213,15,574,,,,201
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,38,Aaron Martens,119,15,567,,,,199
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,39,Keith Combs,143,15,564,,,,197
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,40,Jordan Lee,288,15,550,,,,195
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,41,Matt Reed,189,14,547,,,,193
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,42,Mark Menendez,175,15,542,,,,191
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,43,Justin Lucas,301,15,537,,,,189
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,44,Carl Jocumsen,323,14,525,,,,187
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,45,Brock Mosley,348,13,511,,,,185
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,46,Jared Lintner,170,15,499,,,,183
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,47,Brandon Palaniuk,184,13,494,,,,181
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,48,Tommy Biffle,137,13,479,,,,179
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,49,Randy Allen,317,11,443,,,,177
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,50,Randall Tharp,209,10,380,,,,175
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,51,Jacob Powroznik,303,10,379,,,,173
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,52,Kelly Jordon,129,10,374,,,,171
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,53,Brent Ehrler,319,10,373,,,,169
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,54,Casey Scanlon,262,10,370,,,,167
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,55,Adrian Avena,339,10,370,,,,165
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,56,Andy Montgomery,177,10,368,,,,163
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,57,Dennis Tietje,211,10,366,,,,161
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,58,Matt Lee,274,10,365,,,,159
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,59,David Walker,214,10,364,,,,157
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,60,Brandon Coulter,318,10,362,,,,155
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,61,Bradley Roy,306,10,362,,,,153
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,62,Alton Jones,130,10,361,,,,151
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,63,Jeff Kriet,165,10,358,,,,149
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,64,Rick Clunn,142,10,358,,,,147
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,65,Terry Scroggins,200,10,356,,,,145
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,66,Chad Morgenthaler,289,10,353,,,,143
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,67,Kevin VanDam,118,7,351,,,,141
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,68,Bill Lowen,171,10,351,,,,139
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,69,Paul Mueller,294,10,348,,,,137
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,70,Brent Chapman,126,10,347,,,,135
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,71,David Mullins,302,10,344,,,,133
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,72,Shaw E Grigsby,125,9,343,,,,131
Bassmaster Elite at Wheeler Lake,2016,April 28-1 2016,Wheeler Lake,AL,73,Seth Feider,320,10,336,,,,129
