tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,1,Britt Myers,180,20,899,,,,310
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,2,Brett Hite,298,17,895,,,,300
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,3,Kelly Jordon,129,15,883,40,,5,330
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,4,Brent Chapman,126,19,763,,,,285
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,5,Randy Howell,131,20,763,,,5,280
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,6,Keith Combs,143,20,749,,,,276
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,7,Gerald Swindle,208,20,743,,,5,272
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,8,Jacob Powroznik,303,20,738,,,,268
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,9,Boyd Duckett,150,20,725,,,,264
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,10,Chris Zaldain,263,20,697,,,,260
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,11,John Hunter,345,13,654,,,5,257
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,12,Mark Menendez,175,18,626,,,,254
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,13,James Elam,277,12,550,,,,251
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,14,Stephen Browning,140,15,544,,,,248
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,15,Dave Lefebre,346,15,543,,,,245
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,16,Randall Tharp,209,15,537,,,,243
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,17,Takahiro Omori,182,15,535,,,,241
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,18,Bradley Roy,306,15,527,,,,239
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,19,David Mullins,302,15,526,,,,237
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,20,Adrian Avena,339,15,520,,,,235
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,21,Kevin VanDam,118,15,512,,,,233
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,22,Matt Herren,159,15,501,,,,231
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,23,John Crews,146,14,499,,,,229
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,24,Cliff Pace,183,15,493,,,,227
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,25,Brandon Coulter,318,12,482,,,,225
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,26,Ishama Monroe,224,15,477,,,,223
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,27,Justin Lucas,301,13,466,,,,221
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,28,Timmy Horton,163,12,463,,,,219
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,29,Greg Hackney,122,15,460,,,,217
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,30,Hank Cherry,265,15,460,,,,215
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,31,Aaron Martens,119,14,454,,,,213
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,32,Brent Ehrler,319,15,453,,,,211
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,33,David Williams,326,15,450,,,,209
Bassmaster Elite at Winyah Bay,2016,April 7-10 2016,Winyah Bay,SC,34,Bill Lowen,171,15,446,,,,207
