tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,1,Jordan Lee,288,12,906,40,,15,345
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,2,Stephen Kennedy,128,14,881,,,5,295
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,3,Brent Ehrler,319,15,878,,40,10,340
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,4,James Elam,277,13,804,,,5,285
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,5,Ott Defoe,149,15,780,,,5,280
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,6,Michael Iaconelli,124,12,775,,,5,276
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,7,Bradley Roy,306,12,756,,,5,272
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,8,Bobby Lane,167,14,756,,,5,268
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,9,Jared Lintner,170,15,745,,,5,264
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,10,Kevin VanDam,118,14,738,,,5,260
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,11,Edwin Evers,152,12,731,,,5,257
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,12,Jacob Powroznik,303,15,700,,,5,254
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,13,Brett Hite,298,13,697,,,5,251
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,14,Dave Lefebre,346,11,688,,,5,248
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,15,Timothy Klinger,366,14,679,,,5,245
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,16,Ryan Lavigne,367,12,665,,,5,243
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,17,Randall Tharp,209,13,654,,,5,241
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,18,Drew Benton,340,13,635,,,5,239
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,19,Cliff Crochet,147,11,634,,,5,237
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,20,Cliff Pirch,282,8,526,,,5,235
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,21,Jason Williamson,218,10,524,,,5,233
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,22,Ishama Monroe,224,10,522,,,5,231
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,23,Chris Zaldain,263,10,504,,,5,229
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,24,Justin Lucas,301,9,503,,,5,227
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,25,Todd Faircloth,120,13,471,,,5,225
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,26,Aaron Martens,119,8,335,,,5,223
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,27,Alton Jones Sr.,130,5,317,,,5,221
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,28,Wesley Strader,368,5,313,,,5,219
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,29,Matt Herren,159,5,311,,,5,217
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,30,Greg Hackney,122,7,303,,,5,215
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,31,Skeet Reese,117,6,294,,,5,213
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,32,Dean Rojas,193,5,292,,,5,211
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,33,Jesse Wiggins,362,6,290,,,5,209
2017 GEICO Bassmaster Classic,2017,March 24-26 2017,Lake Conroe,TX,34,Jason Christie,264,6,283,,,5,207
