tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,1,Aaron Martens,119,15,940,40,,10,345
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,2,Seth Feider,320,15,926,,40,5,335
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,3,Brandon Palaniuk,184,15,917,,,5,290
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,4,Jacob Wheeler,315,15,906,,,10,290
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,5,Kelley Jaye,279,15,905,,,5,280
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,6,Brandon Lester,300,15,888,,,5,276
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,7,Ott Defoe,149,15,887,,,5,272
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,8,Jordan Lee,288,15,880,,,5,268
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,9,Greg Hackney,122,15,878,,,5,264
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,10,Chris Lane,168,15,878,,,5,260
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,11,Alton Jones Sr.,130,15,868,,,5,257
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,12,Matt Lee,274,15,868,,,5,254
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,13,Matt Herren,159,15,867,,,5,251
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,14,David Walker,214,15,863,,,5,248
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,15,Adrian Avena,339,15,862,,,5,245
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,16,Jeff Kriet,165,15,858,,,5,243
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,17,Stephen Kennedy,128,15,858,,,5,241
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,18,Todd Faircloth,120,15,857,,,10,244
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,19,Jason Christie,264,15,857,,,5,237
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,20,Drew Benton,340,15,856,,,5,235
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,21,Keith Combs,143,15,848,,,5,233
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,22,Dustin Connell,352,15,846,,,5,231
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,23,Edwin Evers,152,15,841,,,5,229
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,24,Fletcher Shryock,244,15,834,,,5,227
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,25,Justin Lucas,301,15,833,,,5,225
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,26,Brent Ehrler,319,15,822,,,5,223
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,27,Chris Zaldain,263,15,820,,,5,221
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,28,Gerald Spohrer,360,15,819,,,5,219
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,29,John Crews,146,15,815,,,5,217
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,30,Cliff Pirch,282,15,814,,,5,215
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,31,James Niggemeyer,181,15,813,,,5,213
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,32,Bradley Roy,306,15,811,,,5,211
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,33,Hank Cherry,265,15,808,,,5,209
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,34,Paul Mueller,294,15,803,,,5,207
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,35,Casey Ashley,135,15,792,,,5,205
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,36,Chad Pipkens,280,15,792,,,5,203
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,37,Gerald Swindle,208,15,784,,,5,201
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,38,Jamie Hartman,356,15,773,,,5,199
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,39,Shane Lineberger,347,15,769,,,5,197
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,40,Dean Rojas,193,15,768,,,5,195
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,41,Paul Elias,151,15,767,,,5,193
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,42,Brock Mosley,348,15,766,,,5,191
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,43,Terry Scroggins,200,15,763,,,5,189
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,44,Russ Lane,169,15,757,,,5,187
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,45,Cliff Pace,183,15,753,,,5,185
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,46,Bernie Schultz,199,15,752,,,5,183
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,47,Gary Klein,121,15,751,,,5,181
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,48,Stetson Blaylock,350,15,748,,,5,179
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,49,Fred Roumbanis,195,15,742,,,5,177
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,50,Ishama Monroe,224,15,735,,,5,175
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,51,Brandon Coulter,318,15,687,,,5,173
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,52,Luke Clausen,342,10,512,,,5,171
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,53,Skeet Reese,117,10,511,,,5,169
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,54,Greg Vinson,213,10,506,,,5,167
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,55,Marty Robinson,192,10,501,,,5,165
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,56,Tommy Biffle,137,10,501,,,5,163
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,57,David Williams,326,10,500,,,5,161
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,58,Brandon Card,256,10,500,,,5,159
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,59,Robbie Latuso,358,10,499,,,5,157
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,60,David Fritts,354,10,499,,,5,155
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,61,Chad Morgenthaler,289,10,498,,,5,153
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,62,Alton Jones Jr.,357,10,496,,,5,151
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,63,Bill Lowen,171,10,488,,,5,149
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,64,Jesse Wiggins,362,10,487,,,5,147
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,65,Bobby Lane,167,10,485,,,5,145
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,66,Jacob Powroznik,303,10,484,,,5,143
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,67,Randy Howell,131,10,483,,,5,141
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,68,Jesse Tacoronte,361,10,482,,,5,139
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,69,Jonathon VanDam,220,10,481,,,5,137
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,70,Mike McClelland,123,10,480,,,5,135
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,71,Scott Rook,194,10,478,,,5,133
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,72,Andy Montgomery,177,10,477,,,5,131
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,73,Mark Davis,148,10,477,,,5,129
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,74,Boyd Duckett,150,10,476,,,5,127
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,75,John Hunter,345,10,476,,,5,125
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,76,Mark Daniels,353,10,472,,,5,123
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,77,Clent Davis,343,10,471,,,5,121
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,78,John Murray,179,10,471,,,5,119
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,79,Kevin VanDam,118,10,470,,,5,117
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,80,Josh Bertrand,276,10,470,,,5,115
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,81,Takahiro Omori,182,10,469,,,5,113
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,82,Rick Clunn,142,10,468,,,5,111
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,83,Cliff Crochet,147,10,467,,,5,109
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,84,Jason Williamson,218,10,467,,,5,107
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,85,Brett Hite,298,10,466,,,5,105
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,86,Dave Lefebre,346,10,465,,,5,103
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,87,Keith Poche,186,10,461,,,5,101
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,88,Randall Tharp,209,10,459,,,5,99
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,89,Stephen Browning,140,10,457,,,5,97
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,90,Morizo Shimizu,201,10,453,,,5,95
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,91,Koby Kreiger,324,10,451,,,5,93
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,92,Britt Myers,180,10,448,,,5,91
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,93,Michael Iaconelli,124,10,447,,,5,89
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,94,Brent Chapman,126,10,441,,,5,87
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,95,Micah Frazier,321,10,438,,,5,85
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,96,Tyler Carriere,351,10,433,,,5,83
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,97,Brian Snowden,205,10,422,,,5,81
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,98,Timmy Horton,163,10,419,,,5,79
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,99,Brett Preuett,313,10,413,,,5,77
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,100,Kelly Jordon,129,10,413,,,5,75
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,101,Mark Menendez,175,10,412,,,5,73
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,102,Skylar Hamilton,355,10,406,,,5,71
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,103,James Elam,277,10,397,,,5,69
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,104,Jared Lintner,170,9,390,,,5,67
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,105,Shaw E Grigsby,125,10,380,,,5,65
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,106,Cliff Prince,261,9,371,,,5,63
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,107,David Mullins,302,10,346,,,5,61
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,108,Darrell Ocamica,359,5,231,,,5,59
Bassmaster Elite at Champlain,2017,July 28-30 2017,Lake Champlain,NY,109,Chad Grigsby,344,5,210,,,5,57
