tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,1,Stephen Kennedy,128,20,1020,,,,305
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,2,Mark Davis,148,20,994,40,,5,345
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,3,Kevin VanDam,118,20,971,,,10,295
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,4,Mark Menendez,175,20,921,,,,285
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,5,Dean Rojas,193,20,903,,,,280
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,6,Jamie Hartman,356,19,884,,,,276
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,7,Cliff Pace,183,20,864,,,,272
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,8,Matt Lee,274,19,860,,,,268
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,9,David Mullins,302,18,851,,40,,304
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,10,Michael Iaconelli,124,19,843,,,5,260
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,11,Cliff Prince,261,18,820,,,,257
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,12,Brandon Palaniuk,184,18,793,,,,254
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,13,Casey Ashley,135,15,675,,,,251
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,14,Greg Hackney,122,15,673,,,,248
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,15,Ott Defoe,149,15,668,,,,245
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,16,Edwin Evers,152,15,661,,,,243
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,17,Kelly Jordon,129,15,650,,,,241
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,18,Rick Clunn,142,15,645,,,,239
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,19,Cliff Pirch,282,15,644,,,,237
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,20,Jacob Wheeler,315,15,640,,,,235
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,21,Stetson Blaylock,350,14,639,,,,233
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,22,Micah Frazier,321,14,637,,,,231
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,23,Mike McClelland,123,14,619,,,,229
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,24,Skeet Reese,117,14,618,,,,227
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,25,Randy Howell,131,15,615,,,,225
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,26,Bobby Lane,167,15,609,,,,223
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,27,Justin Lucas,301,14,606,,,,221
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,28,Mark Daniels,353,15,606,,,,219
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,29,Terry Scroggins,200,15,603,,,,217
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,30,Chris Zaldain,263,15,598,,,,215
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,31,Gerald Swindle,208,15,595,,,,213
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,32,Shane Lineberger,347,13,586,,,,211
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,33,Tommy Biffle,137,13,581,,,,209
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,34,Jordan Lee,288,15,576,,,,207
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,35,Greg Vinson,213,15,575,,,,205
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,36,James Elam,277,15,574,,,,203
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,37,Scott Rook,194,15,574,,,,201
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,38,Bernie Schultz,199,14,569,,,,199
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,39,Jacob Powroznik,303,15,567,,,,197
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,40,Alton Jones Sr.,130,15,566,,,,195
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,41,Russ Lane,169,15,565,,,,193
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,42,Timmy Horton,163,12,564,,,,191
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,43,David Walker,214,15,564,,,,189
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,44,Gary Klein,121,15,562,,,,187
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,45,Paul Elias,151,15,559,,,,185
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,46,Morizo Shimizu,201,15,557,,,,183
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,47,Brent Chapman,126,15,531,,,,181
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,48,Jesse Wiggins,362,13,504,,,,179
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,49,Jeff Kriet,165,12,500,,,,177
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,50,Keith Poche,186,15,500,,,,175
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,51,Fred Roumbanis,195,12,482,,,,173
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,52,Jesse Tacoronte,361,8,346,,,,171
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,53,Chad Pipkens,280,10,340,,,,169
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,54,Keith Combs,143,10,340,,,,167
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,55,Clent Davis,343,10,328,,,,165
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,56,Brandon Coulter,318,9,323,,,,163
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,57,Aaron Martens,119,10,321,,,,161
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,58,Fletcher Shryock,244,9,320,,,,159
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,59,Bill Lowen,171,10,317,,,,157
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,60,Brock Mosley,348,10,317,,,,155
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,61,John Murray,179,9,316,,,,153
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,62,Randall Tharp,209,10,316,,,,151
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,63,Josh Bertrand,276,6,314,,,,149
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,64,Chad Morgenthaler,289,9,309,,,,147
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,65,Alton Jones Jr.,357,9,307,,,,145
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,66,Todd Faircloth,120,9,306,,,,143
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,67,Adrian Avena,339,9,305,,,,141
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,68,John Crews,146,9,305,,,,139
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,69,Matt Herren,159,9,298,,,,137
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,70,Koby Kreiger,324,9,297,,,,135
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,71,Ishama Monroe,224,7,294,,,,133
Bassmaster Elite at Dardanelle,2017,June 2-5 2017,Lake Dardanelle,AR,72,Jason Christie,264,10,293,,,,131
