tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,1,Jacob Wheeler,315,20,1117,,,5,305
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,2,Jamie Hartman,356,20,1107,,,,295
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,3,Jesse Wiggins,362,20,1104,,,,300
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,4,Seth Feider,320,20,1053,,,,285
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,5,Paul Mueller,294,20,1040,,,,280
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,6,Josh Bertrand,276,20,1038,,,,276
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,7,David Mullins,302,20,1028,,,,272
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,8,Randall Tharp,209,20,1025,40,40,5,348
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,9,Matt Herren,159,20,1004,,,,264
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,10,Ott Defoe,149,20,993,,,,260
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,11,Michael Iaconelli,124,20,980,,,5,257
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,12,Brandon Palaniuk,184,19,874,,,,254
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,13,Keith Combs,143,15,732,,,,251
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,14,Jason Christie,264,15,724,,,,248
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,15,Russ Lane,169,15,717,,,,245
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,16,Jordan Lee,288,14,715,,,,243
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,17,Jason Williamson,218,15,699,,,,241
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,18,David Williams,326,15,697,,,,239
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,19,Alton Jones Sr.,130,15,694,,,,237
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,20,Boyd Duckett,150,15,691,,,,235
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,21,James Elam,277,15,691,,,,233
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,22,Skylar Hamilton,355,14,687,,,,231
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,23,John Crews,146,15,680,,,,229
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,24,Hank Cherry,265,15,675,,,,227
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,25,Alton Jones Jr.,357,15,666,,,,225
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,26,Gerald Swindle,208,15,662,,,,223
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,27,Bobby Lane,167,15,661,,,,221
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,28,Bill Lowen,171,15,659,,,,219
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,29,Brian Snowden,205,14,655,,,,217
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,30,Bradley Roy,306,15,655,,,,215
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,31,Brandon Coulter,318,13,649,,,,213
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,32,Terry Scroggins,200,13,646,,,,211
Bassmaster Elite at Lake Cherokee,2017,February 9-12 2017,Lake Cherokee,MO,33,Aaron Martens,119,13,637,,,,209
