tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,1,Timmy Horton,163,20,1333,,,5,315
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,2,Ott Defoe,149,20,1313,40,,5,340
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,3,Cliff Prince,261,20,1251,,,,290
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,4,Fletcher Shryock,244,20,1242,,,5,285
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,5,Greg Hackney,122,20,1180,,,,280
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,6,Dave Lefebre,346,20,1168,,,5,276
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,7,Bobby Lane,167,20,1162,,,,272
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,8,Jason Williamson,218,20,1114,,,,268
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,9,Dean Rojas,193,20,1102,,,,264
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,10,Andy Montgomery,177,20,1084,,,,260
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,11,Stephen Browning,140,20,1077,,,,257
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,12,Adrian Avena,339,20,1022,,,,254
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,13,Bill Lowen,171,15,859,,,,251
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,14,Brett Hite,298,15,858,,,,248
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,15,Jeff Kriet,165,15,854,,,,245
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,16,Jesse Tacoronte,361,15,851,,,,243
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,17,David Fritts,354,15,824,,,,241
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,18,Luke Clausen,342,15,822,,,,239
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,19,Boyd Duckett,150,15,820,,,,237
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,20,Micah Frazier,321,15,817,,,,235
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,21,Chad Pipkens,280,15,816,,,,233
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,22,Brandon Lester,300,15,813,,,,231
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,23,Josh Bertrand,276,15,808,,,,229
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,24,Kevin VanDam,118,15,799,,,,227
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,25,Randall Tharp,209,15,799,,,,225
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,26,Dustin Connell,352,15,798,,,,223
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,27,Keith Poche,186,15,797,,,,221
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,28,Mark Davis,148,15,797,,,,219
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,29,Brent Ehrler,319,15,795,,,,217
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,30,Stephen Kennedy,128,15,786,,,,215
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,31,Casey Ashley,135,15,755,,,,213
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,32,Hank Cherry,265,15,751,,,,211
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,33,Alton Jones Jr.,357,15,740,,,,209
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,34,James Elam,277,15,730,,,,207
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,35,Gary Klein,121,15,729,,,,205
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,36,Todd Faircloth,120,15,717,,,,203
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,37,Stetson Blaylock,350,15,715,,,,201
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,38,Jordan Lee,288,15,712,,,,199
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,39,Brock Mosley,348,15,711,,,,197
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,40,Jesse Wiggins,362,15,709,,,,195
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,41,Brandon Card,256,15,707,,,,193
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,42,Jason Christie,264,15,692,,,,191
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,43,Cliff Pace,183,15,687,,,,189
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,44,Edwin Evers,152,15,661,,,,187
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,45,Tyler Carriere,351,15,651,,40,,225
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,46,David Mullins,302,15,649,,,,183
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,47,Brian Snowden,205,15,649,,,,181
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,48,Skylar Hamilton,355,12,640,,,,179
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,49,David Walker,214,15,590,,,,177
Bassmaster Elite at Lake Okeechobee,2017,February 23-26 2017,Lake Okeechobee,FL,50,Paul Mueller,294,15,575,,,,175
