tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,1,Dustin Connell,352,20,1037,,,,315
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,2,Kevin VanDam,118,20,1002,,,10,295
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,3,Jonathon VanDam,220,20,948,,,,290
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,4,Bobby Lane,167,20,921,,,,285
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,5,Mark Menendez,175,20,919,,,,280
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,6,Dave Lefebre,346,20,910,,,,276
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,7,Ishama Monroe,224,19,897,,,,272
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,8,Matt Herren,159,20,889,,,,268
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,9,Skeet Reese,117,19,834,,,,264
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,10,Fred Roumbanis,195,18,828,,,,260
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,11,Keith Poche,186,18,820,,,,257
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,12,Brent Chapman,126,17,777,,,,254
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,13,Chad Morgenthaler,289,15,664,,,,251
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,14,Bradley Roy,306,15,659,,,,248
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,15,Stephen Browning,140,15,657,,,,245
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,16,Brandon Card,256,14,648,40,,5,288
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,17,Luke Clausen,342,15,643,,,,241
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,18,Brandon Palaniuk,184,15,636,,,,239
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,19,Seth Feider,320,14,635,,,,237
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,20,Mark Davis,148,14,620,,,,235
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,21,Chad Grigsby,344,15,620,,,,233
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,22,Fletcher Shryock,244,15,618,,,,231
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,23,Randall Tharp,209,14,609,,,,229
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,24,Edwin Evers,152,15,607,,,,227
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,25,Jared Lintner,170,11,600,,,,225
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,26,Timmy Horton,163,15,599,,,,223
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,27,Jason Christie,264,15,596,,,,221
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,28,Keith Combs,143,15,595,,,,219
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,29,Marty Robinson,192,15,588,,,,217
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,30,Randy Howell,131,14,588,,,,215
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,31,Greg Vinson,213,15,581,,,,213
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,32,Todd Faircloth,120,14,580,,,,211
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,33,David Walker,214,14,576,,,5,209
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,34,Casey Ashley,135,15,576,,,,207
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,35,John Crews,146,15,572,,,,205
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,36,Brandon Coulter,318,15,565,,,,203
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,37,Scott Rook,194,15,562,,,,201
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,38,Hank Cherry,265,13,560,,,,199
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,39,Mark Daniels,353,14,549,,,,197
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,40,James Niggemeyer,181,15,546,,,,195
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,41,Clent Davis,343,14,545,,,,193
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,42,Greg Hackney,122,15,543,,,,191
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,43,Cliff Pirch,282,15,535,,,,189
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,44,Cliff Crochet,147,14,527,,,,187
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,45,Brock Mosley,348,13,526,,,,185
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,46,Shane Lineberger,347,14,526,,,,183
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,47,Brett Preuett,313,12,512,,,,181
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,48,Darrell Ocamica,359,12,502,,,,179
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,49,Bill Lowen,171,14,501,,,,177
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,50,Brandon Lester,300,10,475,,40,,215
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,51,Ott Defoe,149,11,409,,,,173
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,52,Mike McClelland,123,10,365,,,,171
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,53,Jacob Wheeler,315,8,358,,,,169
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,54,Micah Frazier,321,9,355,,,,167
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,55,Koby Kreiger,324,10,354,,,,165
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,56,Justin Lucas,301,10,354,,,,163
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,57,Rick Clunn,142,10,353,,,,161
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,58,Brent Ehrler,319,10,351,,,,159
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,59,Drew Benton,340,9,350,,,,157
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,60,Shaw E Grigsby,125,8,349,,,,155
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,61,Russ Lane,169,10,346,,,,153
Bassmaster Elite at Ross Barnett,2017,April 27-30 2017,Ross Barnett Reservoir,MS,62,Jordan Lee,288,9,345,,,,151
