tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,1,Jason Christie,264,20,1416,,,5,305
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,2,Brock Mosley,348,20,1381,,,5,300
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,3,Mark Daniels,353,20,1367,,,,290
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,4,Jordan Lee,288,18,1315,40,40,5,370
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,5,Matt Lee,274,20,1310,,,,280
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,6,Jamie Hartman,356,20,1303,,,,276
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,7,Gerald Spohrer,360,20,1281,,,,272
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,8,Bobby Lane,167,20,1254,,,,268
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,9,Takahiro Omori,182,20,1211,,,,264
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,10,Paul Mueller,294,19,1207,,,,260
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,11,Bradley Roy,306,20,1189,,,5,262
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,12,Micah Frazier,321,17,1104,,,,254
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,13,Jonathon VanDam,220,15,965,,,,251
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,14,Brandon Coulter,318,15,964,,,,248
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,15,Aaron Martens,119,15,956,,,,245
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,16,Luke Clausen,342,15,950,,,,243
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,17,Mark Menendez,175,15,949,,,,241
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,18,Brett Preuett,313,15,947,,,,239
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,19,John Murray,179,15,936,,,,237
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,20,Skeet Reese,117,15,936,,,,235
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,21,Ott Defoe,149,15,936,,,,233
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,22,Jacob Wheeler,315,15,931,,,,231
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,23,John Hunter,345,15,929,,,,229
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,24,Brandon Lester,300,15,929,,,,227
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,25,Cliff Pirch,282,15,928,,,,225
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,26,Seth Feider,320,15,923,,,,223
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,27,Brent Ehrler,319,15,922,,,,221
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,28,Stephen Kennedy,128,15,921,,,,219
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,29,Brandon Palaniuk,184,15,919,,,,217
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,30,Bernie Schultz,199,15,908,,,,215
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,31,Michael Iaconelli,124,15,907,,,,213
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,32,Edwin Evers,152,15,899,,,,211
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,33,Brent Chapman,126,15,897,,,,209
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,34,Chris Zaldain,263,15,895,,,,207
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,35,John Crews,146,15,891,,,,205
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,36,Shane Lineberger,347,15,888,,,,203
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,37,Josh Bertrand,276,15,883,,,,201
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,38,Stetson Blaylock,350,15,881,,,,199
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,39,Paul Elias,151,15,871,,,,197
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,40,Keith Combs,143,15,862,,,,195
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,41,Jacob Powroznik,303,15,860,,,,193
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,42,Chad Pipkens,280,15,849,,,,191
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,43,Fred Roumbanis,195,15,844,,,,189
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,44,Koby Kreiger,324,15,843,,,,187
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,45,Kelley Jaye,279,15,829,,,,185
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,46,Greg Hackney,122,15,818,,,,183
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,47,Randy Howell,131,13,815,,,,181
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,48,Marty Robinson,192,14,810,,,,179
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,49,Dustin Connell,352,14,792,,,,177
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,50,Chad Morgenthaler,289,13,706,,,,175
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,51,Ishama Monroe,224,10,559,,,,173
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,52,Cliff Prince,261,10,558,,,,171
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,53,Casey Ashley,135,10,554,,,,169
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,54,Brian Snowden,205,10,554,,,,167
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,55,Chris Lane,168,10,551,,,,165
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,56,Jesse Wiggins,362,10,550,,,,163
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,57,Scott Rook,194,10,549,,,,161
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,58,Jesse Tacoronte,361,10,548,,,,159
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,59,Adrian Avena,339,10,548,,,,157
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,60,David Williams,326,10,545,,,,155
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,61,Stephen Browning,140,10,545,,,,153
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,62,Mark Davis,148,10,544,,,,151
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,63,David Mullins,302,10,541,,,,149
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,64,Randall Tharp,209,10,541,,,,147
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,65,Gerald Swindle,208,10,539,,,,145
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,66,Justin Lucas,301,10,536,,,,143
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,67,Tyler Carriere,351,10,534,,,,141
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,68,Dave Lefebre,346,10,532,,,,139
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,69,Todd Faircloth,120,10,531,,,,137
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,70,Jason Williamson,218,10,531,,,,135
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,71,Bill Lowen,171,10,530,,,,133
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,72,Kevin VanDam,118,10,527,,,,131
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,73,Gary Klein,121,10,527,,,,129
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,74,Cliff Pace,183,10,516,,,,127
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,75,Mike McClelland,123,10,516,,,,125
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,76,Britt Myers,180,10,515,,,,123
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,77,Morizo Shimizu,201,10,514,,,,121
Bassmaster Elite at St. Clair,2017,August 24-27 2017,Lake St. Clair,MI,78,Andy Montgomery,177,10,513,,,,119
