tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,1,Kevin VanDam,118,20,1443,,40,10,360
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,2,Brock Mosley,348,20,1315,,,,295
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,3,Brandon Palaniuk,184,20,1312,40,,5,330
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,4,Brent Ehrler,319,20,1294,,,,285
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,5,Jonathon VanDam,220,20,1294,,,,280
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,6,James Elam,277,20,1262,,,,276
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,7,Jamie Hartman,356,20,1260,,,,272
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,8,Casey Ashley,135,20,1245,,,,268
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,9,Brandon Coulter,318,20,1241,,,,264
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,10,Gerald Swindle,208,20,1224,,,,260
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,11,Alton Jones Sr.,130,20,1213,,,,257
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,12,Bernie Schultz,199,20,1129,,,,254
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,13,Luke Clausen,342,15,956,,,5,251
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,14,David Walker,214,15,945,,,,248
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,15,Bill Lowen,171,15,939,,,,245
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,16,Josh Bertrand,276,15,936,,,,243
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,17,Koby Kreiger,324,15,927,,,,241
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,18,Skeet Reese,117,15,915,,,,239
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,19,Jason Christie,264,15,905,,,,237
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,20,Brandon Card,256,15,905,,,,235
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,21,Dustin Connell,352,15,900,,,,233
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,22,Timmy Horton,163,15,899,,,,231
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,23,Dave Lefebre,346,15,888,,,,229
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,24,Jesse Wiggins,362,15,880,,,,227
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,25,Jacob Powroznik,303,15,879,,,,225
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,26,Aaron Martens,119,15,879,,,,223
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,27,John Murray,179,15,879,,,,221
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,28,Greg Hackney,122,15,879,,,,219
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,29,Takahiro Omori,182,15,878,,,,217
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,30,Cliff Pirch,282,15,873,,,,215
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,31,Keith Combs,143,15,871,,,,213
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,32,Brandon Lester,300,15,867,,,,211
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,33,Russ Lane,169,15,866,,,,209
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,34,Seth Feider,320,15,862,,,,207
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,35,Jared Lintner,170,15,858,,,,205
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,36,Hank Cherry,265,15,852,,,,203
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,37,Brian Snowden,205,15,848,,,,201
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,38,Cliff Pace,183,15,843,,,,199
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,39,Jason Williamson,218,15,840,,,,197
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,40,Edwin Evers,152,15,831,,,,195
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,41,Marty Robinson,192,15,827,,,,193
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,42,Drew Benton,340,15,823,,,,191
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,43,Justin Lucas,301,15,821,,,,189
Bassmaster Elite at St. Lawrence,2017,July 20-23 2017,St. Lawrence River,NY,44,Matt Herren,159,15,818,,,,187
