tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,1,John Murray,179,20,1242,,,10,305
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,2,Jason Christie,264,20,1163,,40,,335
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,3,Jamie Hartman,356,20,1159,,,,300
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,4,Casey Ashley,135,20,1126,,,5,285
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,5,Brandon Palaniuk,184,20,1077,,,,280
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,6,Andy Montgomery,177,20,1049,,,,276
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,7,Alton Jones Sr.,130,20,1043,,,,272
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,8,Todd Faircloth,120,19,985,,,,268
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,9,Brett Hite,298,20,958,,,,264
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,10,Jacob Wheeler,315,19,914,40,,5,305
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,11,Randy Howell,131,20,910,,,,257
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,12,Matt Lee,274,17,852,,,,254
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,13,James Elam,277,14,749,,,,251
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,14,John Crews,146,15,748,,,,248
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,15,Dave Lefebre,346,15,745,,,,245
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,16,Seth Feider,320,15,742,,,,243
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,17,Brent Ehrler,319,15,736,,,,241
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,18,Jacob Powroznik,303,15,733,,,,239
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,19,Greg Hackney,122,15,718,,,,237
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,20,Gerald Swindle,208,15,711,,,,235
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,21,Michael Iaconelli,124,15,709,,,,233
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,22,David Walker,214,15,705,,,,231
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,23,Cliff Pace,183,15,703,,,,229
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,24,Jason Williamson,218,15,703,,,,227
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,25,Edwin Evers,152,15,698,,,,225
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,26,Ott Defoe,149,15,698,,,,223
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,27,Drew Benton,340,15,693,,,,221
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,28,Mark Daniels,353,15,688,,,,219
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,29,Kevin VanDam,118,15,683,,,,217
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,30,Scott Rook,194,15,680,,,,215
Bassmaster Elite at Toledo Bend,2017,April 6-9 2017,Toledo Bend,LA,31,Fletcher Shryock,244,15,679,,,,213
