tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,1,Brandon Palaniuk,184,20,1500,,,5,310
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,2,Brent Ehrler,319,20,1468,,40,5,345
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,3,Jacob Wheeler,315,20,1343,,,5,290
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,4,Jordan Lee,288,20,1239,,,,285
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,5,Hank Cherry,265,20,1238,,,,280
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,6,Greg Vinson,213,20,1226,,,,276
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,7,Jason Christie,264,20,1198,,,,272
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,8,Alton Jones Jr.,357,20,1193,40,,5,308
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,9,Cliff Crochet,147,20,1184,,,,264
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,10,Kelley Jaye,279,20,1144,,,,260
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,11,Gerald Swindle,208,20,1119,,,,257
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,12,Jason Williamson,218,20,1016,,,,254
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,13,Casey Ashley,135,15,902,,,,251
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,14,Todd Faircloth,120,15,901,,,,248
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,15,David Mullins,302,15,892,,,,245
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,16,Micah Frazier,321,15,891,,,,243
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,17,Edwin Evers,152,15,886,,,,241
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,18,Ishama Monroe,224,15,883,,,,239
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,19,Josh Bertrand,276,15,882,,,,237
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,20,Randy Howell,131,15,877,,,,235
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,21,Bradley Roy,306,15,872,,,,233
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,22,Russ Lane,169,15,869,,,,231
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,23,Cliff Pace,183,15,867,,,,229
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,24,Dustin Connell,352,15,854,,,,227
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,25,Mark Daniels,353,15,854,,,,225
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,26,Bobby Lane,167,15,846,,,,223
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,27,Keith Combs,143,15,845,,,,221
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,28,Aaron Martens,119,15,840,,,,219
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,29,Tommy Biffle,137,15,836,,,,217
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,30,Jeff Kriet,165,15,833,,,,215
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,31,Robbie Latuso,358,15,827,,,,213
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,32,James Elam,277,15,825,,,,211
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,33,Luke Clausen,342,15,824,,,,209
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,34,Mike McClelland,123,15,824,,,,207
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,35,Ott Defoe,149,15,823,,,,205
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,36,Clent Davis,343,15,814,,,,203
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,37,Rick Clunn,142,15,811,,,,201
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,38,Mark Davis,148,15,806,,,,199
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,39,Jacob Powroznik,303,15,800,,,,197
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,40,Drew Benton,340,15,784,,,,195
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,41,Randall Tharp,209,15,781,,,,193
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,42,Matt Lee,274,15,775,,,,191
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,43,Britt Myers,180,15,777,,,,189
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,44,Cliff Pirch,282,15,768,,,,187
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,45,Brandon Coulter,318,15,762,,,,185
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,46,Jonathon VanDam,220,15,760,,,,183
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,47,Marty Robinson,192,15,759,,,,181
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,48,Kelly Jordon,129,15,752,,,,179
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,49,Justin Lucas,301,15,742,,,,177
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,50,Chris Lane,168,15,724,,,,175
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,51,Fred Roumbanis,195,15,711,,,,173
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,52,Kevin VanDam,118,10,515,,,,171
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,53,John Crews,146,10,513,,,,169
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,54,Dean Rojas,193,10,513,,,,167
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,55,Scott Rook,194,10,508,,,,165
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,56,Gary Klein,121,10,506,,,,163
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,57,Brandon Card,256,10,506,,,,161
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,58,Brett Hite,298,10,502,,,,159
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,59,Paul Mueller,294,10,500,,,,157
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,60,Matt Herren,159,10,498,,,,155
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,61,Koby Kreiger,324,10,498,,,,153
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,62,Terry Scroggins,200,10,495,,,,151
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,63,Boyd Duckett,150,10,495,,,,149
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,64,Stetson Blaylock,350,10,495,,,,147
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,65,Seth Feider,320,10,494,,,,145
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,66,Greg Hackney,122,10,493,,,,143
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,67,David Walker,214,10,492,,,,141
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,68,Gerald Spohrer,360,10,486,,,,139
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,69,Stephen Kennedy,128,10,486,,,,137
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,70,Adrian Avena,339,10,484,,,,135
Toyota Bassmaster Texas Fest,2017,May 17-21 2017,Lake Sam Rayburn,TX,71,Jared Lintner,170,10,482,,,,133
