tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,1,Jordan Lee,288,15,753,,,5,305
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,2,Brent Ehrler,319,15,737,,,5,295
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,3,Jason Christie,264,14,735,40,,10,340
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,4,Matt Lee,274,15,703,,,10,285
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,5,Jacob Powroznik,303,15,692,,,5,280
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,6,Ott Defoe,149,15,685,,,5,276
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,7,Jacob Wheeler,315,15,685,,,5,272
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,8,Casey Ashley,135,15,684,,,5,268
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,9,Aaron Martens,119,15,681,,,5,264
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,10,Gerald Swindle,208,15,674,,,5,260
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,11,James Elam,277,15,666,,,5,257
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,12,Edwin Evers,152,15,665,,,5,254
2018 GEICO Bassmaster Classic presented by DICK'S Sporting Goods,2018,March 16-18 2018,Lake Hartwell,SC,13,Cliff Pirch,282,15,661,,,5,251
