tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,1,Kevin VanDam,118,20,1332,,,,310
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,2,Tommy Biffle,137,20,1250,,,5,295
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,3,Roy Hawk,371,20,1232,,,5,290
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,4,Bradley Roy,306,20,1203,,,,285
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,5,Seth Feider,320,20,1179,,,,280
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,6,Brandon Lester,300,20,1168,40,,5,321
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,7,Greg Vinson,213,20,1161,,,,272
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,8,Paul Mueller,294,20,1152,,,,268
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,9,Randall Tharp,209,20,1137,,,,264
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,10,Jordan Lee,288,20,1098,,,,260
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,11,Fred Roumbanis,195,19,1010,,,,257
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,12,Cliff Crochet,147,17,933,,,,254
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,13,Justin Lucas,301,15,852,,,,251
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,14,Jacob Wheeler,315,15,851,,,,248
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,15,Dean Rojas,193,15,850,,,,245
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,16,Brett Hite,298,15,847,,,,243
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,17,Scott Rook,194,15,841,,,,241
Bassmaster Elite at Grand Lake,2018,April 26-29 2018,Grand Lake,OK,18,Cliff Pace,183,15,840,,,,239
