tournament,year,date,site,state,place,angler,angler_id,fish,weight_oz,big_bag,big_bass,leader_bonus,fantasy_points
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,1,Takahiro Omori,182,20,952,,,5,315
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,2,Roy Hawk,371,20,840,,,5,295
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,3,Adrian Avena,339,20,813,,,,290
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,4,Jared Lintner,170,20,810,,,,285
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,5,Luke Clausen,342,20,807,,,,280
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,6,Justin Lucas,301,20,805,,,,276
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,7,Andy Montgomery,177,20,802,,,5,272
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,8,Mark Menendez,175,20,785,,,,268
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,9,Jonathon VanDam,220,20,761,,,,264
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,10,Dean Rojas,193,20,756,,,,260
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,11,Brett Hite,298,20,719,,,,257
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,12,Dustin Connell,352,20,718,,,,254
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,13,Ott Defoe,149,15,567,,,,251
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,14,"Ray Hanselman, Jr.",370,15,563,,,,248
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,15,Casey Ashley,135,15,560,,,,245
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,16,Cliff Pace,183,15,557,,,,243
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,17,James Elam,277,15,557,,,,241
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,18,Jesse Wiggins,362,15,553,,,,239
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,19,Brent Chapman,126,15,551,,,,237
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,20,Josh Bertrand,276,15,550,,,,235
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,21,Randy Howell,131,15,549,,,,233
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,22,Todd Faircloth,120,15,548,,,,231
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,23,Alton Jones Jr.,357,15,548,,,,229
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,24,Mark Daniels,353,15,547,,,,227
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,25,Bradley Roy,306,15,545,,,,225
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,26,Boyd Duckett,150,15,536,,,,223
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,27,Greg Hackney,122,15,533,,,,221
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,28,Skylar Hamilton,355,15,530,,,,219
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,29,Michael Iaconelli,124,15,529,,,,217
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,30,Russ Lane,169,15,528,,,,215
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,31,Wesley Strader,368,15,526,,,,213
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,32,Matt Lee,274,15,526,,,,211
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,33,Micah Frazier,321,15,525,,,,209
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,34,Aaron Martens,119,15,524,,,,207
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,35,Shin Fukae,309,15,522,,,,205
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,36,Jason Christie,264,15,522,,,,203
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,37,Skeet Reese,117,15,520,,,,201
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,38,Brent Ehrler,319,15,520,,,,199
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,39,Cliff Crochet,147,15,518,,,,197
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,40,Paul Mueller,294,15,516,,,,195
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,41,Chad Pipkens,280,15,515,,,,193
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,42,Jason Williamson,218,15,514,,,,191
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,43,Terry Scroggins,200,15,511,,,,189
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,44,David Mullins,302,15,509,,,,187
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,45,Cliff Pirch,282,15,508,,,,185
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,46,Brian Snowden,205,15,504,,,,183
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,47,David Walker,214,15,496,,,,181
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,48,Cliff Prince,261,13,489,40,40,5,264
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,49,Chris Lane,168,13,469,,,,177
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,50,Brandon Lester,300,15,461,,,,175
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,51,Robbie Latuso,358,12,442,,,,173
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,52,Brock Mosley,348,10,331,,,,171
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,53,Jamie Hartman,356,10,331,,,,169
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,54,Stephen Kennedy,128,10,330,,,,167
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,55,Chris Groh,369,10,329,,,,165
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,56,Mike McClelland,123,10,329,,,,163
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,57,Hank Cherry,265,10,328,,,,161
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,58,Gerald Spohrer,360,10,328,,,,159
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,59,Fletcher Shryock,244,10,327,,,,157
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,60,Jacob Powroznik,303,9,326,,,,155
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,61,Edwin Evers,152,10,325,,,,153
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,62,Brandon Coulter,318,10,324,,,,151
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,63,Fred Roumbanis,195,10,324,,,,149
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,64,Chris Zaldain,263,10,323,,,,147
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,65,John Crews,146,10,320,,,,145
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,66,Bobby Lane,167,9,318,,,,143
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,67,Greg Vinson,213,10,317,,,,141
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,68,Jordan Lee,288,10,315,,,,139
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,69,Matt Herren,159,10,312,,,,137
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,70,Gerald Swindle,208,10,311,,,,135
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,71,Hunter Shryock,373,10,309,,,,133
Bassmaster Elite at Lake Martin presented by Econo Lodge,2018,February 8-11 2018,Lake Martin,AL,72,Brandon Palaniuk,184,10,309,,,,131
